"# of Use",# în Uz
"%1$s incl tax.",%1$s taxe incl.
"%s - %s","%s - %s"
"%s Item(s)",%s Articol(e)
"%s and above",%s și peste
"Qty Uses Decimals",Cant. Utilizează Zecimale
"Qty for Item\'s Status to Become Out of Stock",Cant. pentru care Status Articol Devine Stoc Epuizat
"Qty:",Cant:
"Quantity",Cantitate
"Quick Create",Creare Rapidă
"Quick Overview",Prezentare Rapidă
"Quick simple product creation",Creare rapidă produs simplu
"Records for ""%s"" store found.","""%s"" înregistrări găsite pentru magazin."
"Redirect",Redirecționare
"Redirect URL",URL redirecționare
"Regular Price:",Preț Normal:
"Related Products",Produse Asociate
"Remove",Eliminare
"Remove Product From Websites",Eliminare Produs din Site-uri
"Remove This Item",Eliminare Articol Curent
"Remove attribute from attribute set",Eliminare atribut din set atribute
"Remove attribute set",Eliminare set atribute
"Remove custom option",Eliminare opțiune personalizată
"Remove group from attribute set",Eliminare grup de la set atribute
"Remove option",Eliminare opțiune
"Remove product assignment",Eliminare atribuire produs
"Remove product image",Eliminare imagine produs
"Remove product link",Eliminare legătură produs
"Remove value from custom option",Eliminare valoare de la opțiune personalizată
"Rename existing group",Redenumire grup existent
"Rename group",Redenumire grup
"Reorganize EAV category structure to flat structure",Reorganizare structură categorii EAV în structură plată
"Reorganize EAV product structure to flat structure",Reorganizare structură produse EAV în structură plată
"Reset",Resetare
"Results",Rezultate
"Retrieve attribute data",Recuperare date atribut
"Retrieve attribute list",Recuperare listă atribute
"Retrieve attribute options",Recuperare opțiuni atribut
"Retrieve categories tree",Recuperare arbore categorii
"Retrieve category attributes",Recuperare atribute categorii
"Retrieve category data",Recuperare date categorie
"Retrieve hierarchical tree",Recuperare arbore ierarhic
"Retrieve linked products",Recuperare produse legate
"Retrieve list of assigned products",Recuperare listă produse atribuite
"Retrieve list of option values",Recuperare listă valori opțiune
"Retrieve list of product custom options",Recuperare listă opțiuni personalizate produs
"Retrieve one level of categories by website/store view/parent category",Recuperare un nivel de categorii dupa categorie site/vitrină/părinte
"Retrieve option value info",Recuperare informații valoare opțiune
"Retrieve product",Recuperare produs
"Retrieve product attribute sets",Recuperare seturi atribute produs
"Retrieve product image",Recuperare imagine produs
"Retrieve product image list",Recuperare listă imagini produs
"Retrieve product image types",Recuperare tipuri imagini produs
"Retrieve product link type attributes",Recuperare atribute tip legătură produs
"Retrieve product link types",Recuperare tipuri legături produs
"Retrieve product tier prices",Recuperare nivele prețuri produs
"Retrieve product types",Recuperare tipuri produs
"Retrieve products data",Recuperare date produs
"Retrieve products list by filters",Recuperare listă produse după filtre
"Reviews",Recenzii
"Roll Over for preview",Treceți cu mouse-ul pentru previzualizare
"Root",Rădăcină
"SKU",COD
"SKU length should be %s characters maximum.",Lungime COD trebuie să fie maxim %s caractere.
"Save",Salvare
"Save Attribute",Salvare Atribut
"Save Attribute Set",Salvare Set Atribute
"Save Category",Salvare Categorie
"Save Search",Salvare Căutare
"Save and Continue Edit",Salvare și Continuare Modificări
"Saved %d record(s)",%d înregistrări salvate.
"Scope",Acoperire
"Scope must not be changed, because the attribute is used in configurable products.","Acoperirea nu trebuie schimbată, deoarece atributul e folosit în produse configurabile."
"Search",Căutare
"Search Engine Optimizations",Optimizări Motoare Căutare
"Search Information",Informații Căutare
"Search Query",Interogare Căutare
"Search Term with such search query already exists.",Termenul de Căutare cu această interogare de căutare există deja.
"Search Weight",Căutare Greutate
"Searchable",Căutabil
"See price before order confirmation.",Vizualizare preț înainte de confirmarea comenzii.
"Select Category...",Selectare Categorie...
"Select Configurable Attributes ","Selectare Atribute Configurabile "
"Select Product...",Selectare Produs...
"Select type of option",Selectare tip opțiune
"Select type options required values rows.",Selectare opțiuni tip necesare valorilor rândurilor.
"Selected Product Types",Selectare Tipuri Produs
"Send Count",Trimitere Numărătoare
"Set Ascending Direction",Setare Direcție Ascendentă
"Set Descending Direction",Setare Direcție Descendentă
"Set Name",Setare Nume
"Set Root Category for Store",Setare Categorie Rădăcină pentru Magazin
"Set root category for this store in the <a href=""%s"">configuration</a>",Setare categorie rădăcină pentru acest magazin în <a href="%s">configurație</a>
"Set special price",Setare preț special
"Set/Get current store view",Setare/Obținere vitrina curentă
"Settings",Setări
"Shop By",Cumpărare după
"Shopping Options",Opțiuni Cumpărare
"Show",Afișare
"Show Details",Arătare Detalii
"Show Tags",Arătare Etichete
"Simple Product",Produs Simplu
"Site Map",Hartă Site
"Sitemap",HartăSite
"Skip import row, is not valid value ""%s"" for field ""%s""","Sărire rând importat, valoare invalidă ""%s"" pentru câmpul ""%s"""
"Skip import row, required field ""%s"" for the new customer is not defined.","Sărire rând importat, câmpul necesar ""%s"" pentru client nou nu e definit."
"Skip import row, the value ""%s"" is invalid for field ""%s""","Sărire rând importat, valoarea ""%s"" e invalidă pentru câmpul ""%s"""
"Skipping import row, required field ""%s"" for new products is not defined.","Sărire rând importat, câmpul necesar ""%s"" pentru produse noi nu e definit."
"Skipping import row, required field ""%s"" is not defined.","Sărire rând importat, câmpul necesar ""%s"" nu e definit."
"Skipping import row, store ""%s"" field does not exist.","Sărire rând importat, câmpul de magazin ""%s"" nu există."
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","Sărire rând importat, valoarea ""%s"" nu e validă pentru câmpul ""%s""."
"Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.",Unele dintre produsele procesate nu au valoare COD definită. Completați codul înaintea executării operațiilor pe aceste produse.
"Some of the selected item options are not currently available.",Unele dintre opțiunile de articol selectate sunt momentan indisponibile.
"Sort By",Sortare după
"Sort Order",Ordine Sortare
"Source Model",Model Sursă
"Special Expires On: %s",Special Expiră La: %s
"Special Price:",Preț Special:
"Special Price: %s",Preț Special: %s
"Starting at:",Începând de la:
"Static","Static"
"Static block and products",Bloc static și produse
"Static block only",Doar bloc static
"Status","Status"
"Stock Availability",Disponibilitate Stoc
"Store",Magazin
"Store View",Vitrină
"Stretch",Întindere
"Subscribe to RSS Feed",Abonați-vă la Feed-uri RSS
"Super product attributes configuration",Configurare atribute super produs
"Synonym For",Sinonim Cu
"System Properties",Proprietăți Sistem
"Tag Name",Nume Etichetă
"Tax",Taxe
"Template",Șablon
"Text","Text"
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module",Modulul Catalog Plat are o limită de %2\$d atribute filtrabile sau/și sortabile. Momentan există %1\$d dintre ele. Reduceți numărul de atribute sortabile/filtrabile pentru a utiliza acest modul
"The From Date value should be less than or equal to the To Date value.",Valoarea Data De La trebuie să fie mai mică sau egală cu valoarea Data Pînă La
"The attribute code \'%s\' is reserved by system. Please try another attribute code",Codul atribut \'%s\' e rezervat de sistem. Încercați un alt cod atribut
"The attribute model is not defined",Modelul atribut nu e definit.
"The attribute set has been saved.",Setul de atribute a fost salvat.
"The base directory to upload file is not specified.",Directorul de bază pentru încărcare fișiere nu e specificat.
"The category has been deleted.",Categoria a fost ștearsă.
"The category has been saved.",Categoria a fost salvată.
"The comparison list was cleared.",Listă comparație curățată.
"The file '%s' for '%s' has an invalid extension",Fișierul '%s' pentru '%s' are o extensie invalidă
"The file '%s' you uploaded is larger than %s Megabytes allowed by server",Fișierul '%s' încărcat e mai mare de %s Megabytes permiși de server
"The file you uploaded is larger than %s Megabytes allowed by server",Fișierul încărcat e mai mare de %s Megabytes permiși de server.
"The filters must be an array.",Filtrele trebuie să fie matrice.
"The image contents is not valid base64 data.",Conținutul imaginii nu reprezintă date valide baza64.
"The image is not specified.",Imaginea nu e specificată.
"The model collection resource name is not defined.",Numele resursei colecției model nu e definit.
"The product %s has been added to comparison list.",Produsul %s a fost adăugat la lista de comparație.
"The product %s has been removed from comparison list.",Produsul %s a fost eliminat din lista de comparație.
"The product attribute has been deleted.",Atributul de produs a fost șters.
"The product attribute has been saved.",Atributul de produs a fost salvat.
"The product has been created.",Produsul a fost creat.
"The product has been deleted.",Produsul a fost șters.
"The product has been duplicated.",Produsul a fost duplicat.
"The product has been saved.",Produsul a fost salvat.
"The product has required options",Produsul are opțiunile necesare
"The review has been deleted",Recenzia a fost ștearsă
"The review has been saved.",Recenzia a fost creată.
"The review was removed by another user or does not exist.",Recenzia a fost eliminată de alt utilizator sau nu există.
"The search was deleted.",Căutarea a fost ștearsă.
"The text is too long",Textul e prea lung
"There are no %s available.",Nu există %s disponibile.
"There are no customers for this alert",Nu există clienți pentru această alertă
"There are no customers for this alert.",Nu există clienți pentru această alertă.
"There are no products matching the selection.",Nu există produse conform criteriilor selectate.
"There was an error while request processing.",A fost o eroare la procesarea cererii.
"This Attribute no longer exists",Acest Atribut nu mai există
"This attribute cannot be deleted.",Acest atribut nu poate fi șters.
"This attribute cannot be edited.",Acest atribut nu poate fi modificat.
"This attribute cannot be updated.",Acest atribut nu poate fi actualizat.
"This attribute is used in configurable products.",Acest atribut e utilizat în produse configurabile.
"This attribute is used in configurable products. You cannot remove it from the attribute set.",Acest atribut e utilizat în produse configurabile. Nu puteți să îl eliminați din setul de atribute.
"This attribute no longer exists",Atributul nu mai există
"This attribute set no longer exists.",Acest set de atribute nu mai există.
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Acest grup conține atribute, folosite în produse configurabile. Mutați aceste atribute la un alt grup și reîncercați."
"This group contains system attributes. Please move system attributes to another group and try again.",Acest grup conține atribute de sistem. Mutați atributele în alt grup și încercați din nou.
"This is a required option",Această opțiune e obligatorie
"This product no longer exists.",Acest produs nu mai există.
"This search no longer exists.",Această căutare nu mai există.
"This setting will be applied when all prices in the specific price interval are equal.",Această setare va fi aplicată când toate prețurile în intervalul specific de preț sunt egale.
"Tier Pricing",Nivele Prețuri
"Tile",Una Lângă Alta
"Time Format",Format Timp
"Title",Titlu
"To reindex the enabled product(s), the store or product must be specified","Pentru a reindexa produsul(ele) activat(e), magazinul sau produsul trebuie specificat."
"To see product price, add this item to your cart. You can always remove it later.","Pentru a vizualiza prețul produsului, adăugați-l în coșul dvs. Puteți să îl eliminați mai târziu."
"Top/Left",Stânga/Sus
"Top/Right",Dreapta/Sus
"Total Qty Base Items",Total Cant Articole de Bază
"Total Qty Content Items",Cant Totală Articole Conținut
"Total incl. Tax: %1$s",Total incl. Taxe: %1$s
"Total of %d record(s) have been deleted.",Un total de %d înregistrare(i) au fost șterse.
"Total of %d record(s) have been updated.",Un total de %d înregistrare(i) au fost actualizate.
"Total of %d record(s) were updated",Un total de %d înregistrare(i) s-au actualizat
"Type",Tip
"URL Rewrite Management",Gestionare RescriereURL
"Unable to complete this request.",Nu se poate finaliza cererea.
"Unable to find a search term to delete.",Nu se poate găsi termenul de căutare de șters.
"Unable to find an attribute to delete.",Nu se poate găsi atributul de șters.
"Unable to get the product ID.",Nu se poate obține ID produs.
"Unassigned Attributes",Atribute Nealocate
"Unknown EAV indexer type ""%s"".",Tip indexor EAV necunoscut "%s".
"Unknown attribute: %s.",Atribut necunoscut: %s
"Unsupported product type ""%s"".",Tip produs nesuportat "%s".
"Up-sells",Vânzări Îmbunătățite
"Update",Actualizare
"Update Attributes",Actualizare Atribute
"Update Tier Price",Actualizare Nivel Preț
"Update assigned product",Actualizare produs atribuit
"Update attribute",Actualizare atribut
"Update attributes",Actualizare Atribute
"Update category",Actualizare categorie
"Update custom option of product",Actualizare opțiune personalizată produs
"Update product",Actualizare produs
"Update product image",Actualizare imagine produs
"Update product link",Actualizare legătură produs
"Update product tier prices",Actualizare nivel preț produs
"Update value of custom option",Actualizare valoare opțiune personalizată
"Upload new product image ","Încărcare imagine produs nouă "
"Use Canonical Link Meta Tag For Categories",Utilizare Meta Etichetă Legătură Canonică Pentru Categorii
"Use Canonical Link Meta Tag For Products",Utilizare Meta Etichetă Legătură Canonică Pentru Produse
"Use Categories Path for Product URLs",Utilizare Cale Categorie pentru URL-uri Produse
"Use Config Settings",Folosire Setări de Configurare
"Use Default Value",Folosire Valoare Implicită
"Use Flat Catalog Category",Utilizare Categorie Catalog Plat
"Use Flat Catalog Product",Utilizare Produs Catalog Plat
"Use In Layered Navigation",Utilizare în Navigația Stratificată
"Use In Search Results Layered Navigation",Utilizare în Rezultate Căutare Navigație Stratificată
"Use JavaScript Calendar",Utilizare Calendar JavaScript
"Use Static URLs for Media Content in WYSIWYG for Catalog",Utilizare URL-uri Statice pentru Conținutul Media în WYSIWYG pentru Catalog
"Use To Create Configurable Product",Utilizare la Creare Produs Configurabil
"Use Tree Like Category Sitemap",Utilizare Hartă Site Categorie tip Arbore
"Use config",Folosire configurare
"Use default",Folosire implicit
"Use for Promo Rule Conditions",Utilizare la Condiții Regulă Promo
"Use four-digit year format.",Utilizare format an de patru cifre.
"Use in Advanced Search",Utilizare în Căutarea Avansată
"Use in Layered Navigation",Utilizare în Navigația Stratificată
"Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')",Utilizare în Navigația Stratificată<br/>(se poate folosi doar cu tipul 'Dropdown')
"Use in Quick Search",Utilizare în Căutarea Rapidă
"Used for Sorting in Product Listing",Utilizat la Sortare în Listarea Produselor
"Used in Product Listing",Utilizat în Listarea Produselor
"Value for ""%s"" is invalid.",Valoarea pentru "%s" e invalidă.
"Value for ""%s"" is invalid: %s",Valoarea pentru "%s" e invalidă: %s
"Varchar","Varchar"
"View as",Vizualizare ca
"Virtual Product",Produs Virtual
"Visibility",Vizibilitate
"Visible",Vizibil
"Visible on Catalog Pages on Front-end",Vizibil în Pagini Catalog pe Front-end
"Visible on Product View Page on Front-end",Vizibil în Pagina Vizualizare Produs pe Front-end
"WYSIWYG Editor",Editor WYSIWYG
"Watermark","Watermark"
"Watermark Default Size",Dimensiune Implicită Watermark
"Watermark Opacity, Percent","Opacitate Watermark, Procente"
"Watermark Position",Poziție Watermark
"We Also Recommend",Vă Recomandăm Și
"Website",Site
"Website Item Must be checked",Articolul Magazin trebuie bifat
"Website Store Must be checked",Vitrina trebuie bifată
"Websites",Site-uri
"What's this?",Ce e asta?
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.",Dacă să fie afișată sau nu opțiunea "Toate" în dropdown-ul "Afișare X Per Pagină".
"Will make search for the query above return results for this search.",Va face căutarea pentru interogarea de mai sus să returneze rezultate pentru această căutare.
"Wrong BuyRequest instance in options group.",Instanță BuyRequest greșită în grup opțiuni.
"Wrong configuration item instance in options group.",Instanță articol configurare greșită în grup opțiuni.
"Wrong configuration item option instance in options group.",Instanță opțiune articol configurare greșită în grup opțiuni.
"Wrong option instance type in options group.",Tip instanță opțiune greșit în grup opțiuni.
"Wrong option type to get group instance.",Tip opțiune greșit pentru obținerea instanței de grup.
"Wrong product instance type in options group.",Tip instanță produs greșit în grup opțiuni.
"Wrong product type filter specified",Filtru tip produs specificat greșit
"Wrong product type to extract configurable options.",Tip produs greșit pentru extragerea opțiunilor configurabile.
"Year Range",Interval Ani
"Yes",Da
"You cannot remove system attribute from this set.",Nu puteți șterge atributul sistem din acest set.
"You have no items to compare.",Nu aveți produse la comparație.
"You may also be interested in the following product(s)",S-ar putea să fiți interesat și de următoarele produse:
"Zoom In",Mărire
"Zoom Out",Micșorare
"and",și
"and above",și peste
"categories",Categorii
"each",fiecare
"ex. http://domain.com",ex. http://domeniu.com
"leave blank if its not an image",lăsați liber dacă nu e imagine
"per page",pe pagină
"products",Produse
"px.","px."
"save",Salvare
"select all",Selectare Tot
"unselect all",Deselectare Tot
"x","x"
