"# of Use","Nb d'utilisations"
"You may also be interested in the following product(s)","Vous pourriez également être intéressé par le(s) produit(s) suivant(s)"
"Zoom In","Zoom avant"
"Zoom Out","Zoom arrière"
"[GLOBAL]","[GLOBAL]"
"and","et"
"and above","et plus"
"cache refresh needed","cache refresh needed"
"categories","categories"
"comma separated","comma separated"
"each","each"
"ex. http://domain.com","Ex: http://domaine.com"
"leave blank if its not an image","leave blank if its not an image"
"must be in the allowed values list","must be in the allowed values list"
"per page","par page"
"products","products"
"px.","px."
"save","save"
"select all","tout sélectionner"
"unselect all","tout désélectionner"
"x","x"
"Description","Description"
"Short Description","Short Description"
"Tax Class","Tax Class"
"There are no products matching the selection.","There are no products matching the selection."
"Availability:","Availability:"
"Qty:","Qty:"
"Compare Products","Compare Products"
"You have no items to compare.","You have no items to compare."
"Site Map","Site Map"
"Go to Home Page","Go to Home Page"
"Home","Home"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Our customer service is available 24/7. Call us at (555) 555-0123."
"Categories","Categories"
"Keep your eyes open for our special Back to School items and save A LOT!","Keep your eyes open for our special Back to School items and save A LOT!"
"Categories Sitemap","Categories Sitemap"
"Are you sure you would like to remove all products from your comparison?","Are you sure you would like to remove all products from your comparison?"
"Clear All","Clear All"
"Products Sitemap","Products Sitemap"
