"# of Use","# จำนวนที่ใช้"
"Special Price:","ราคาพิเศษ:"
"Starting at:","เริ่มต้นที่:"
"Static","สถิติ"
"Static block and products","Static Block และสินค้า"
"Static block only","เฉพาะ Static Block"
"Status","สถานะ"
"Stock Availability","มีสินค้าในคลังสินค้า"
"Store","ร้านค้า"
"Store View","มุมมองร้านค้า"
"Stretch","ยืดออก"
"Subscribe to Feed","สมัครสมาชิก Feed"
"Subscribe to RSS Feed","สมัครสมาชิก RSS Feed"
"Super product attributes configuration","การตั้งค่าคุณลักษณะสินค้าขั้นสูง"
"Synonym For","คำเหมือนของ"
"Synonym for","คำเหมือนของ"
"System","ระบบ"
"System Properties","คุณสมบัติระบบ"
"Tag Name","ชื่อ Tag"
"Tax","Tax"
"Text","ข้อความ"
"Text Area","พื้นที่ข้อความ"
"Text Field","ฟิลด์ข้อความ"
"There are no %s available.","ไม่มี %s ที่สามารถซื้อได้"
"There are no customers for this alert","ไม่มีลูกค้าสำหรับการแจ้งเตือนนี้"
"There are no products matching the selection.","ไม่พบสินค้าที่ตรงกับการเลือก"
"There was an error while adding products to websites","พบข้อผิดพลาดขณะเพิ่มสินค้าในเว็บไซต์"
"There was an error while cleared compare list","There was an error while cleared compare list"
"There was an error while removing products from websites","พบข้อผิดพลาดขณะที่ลบสินค้าออกจากเว็บไซต์"
"There was an error while updating product(s) attributes","พบข้อผิดพลาดขณะกำลังอัพเกรดคุณลักษณะสินค้า"
"There was an error while updating product(s) status","There was an error while updating product(s) status"
"This attribute no longer exists","ไม่มีคุณลักษณะนี้อยู่"
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","This group contains attributes, used in configurable products. Please move these attributes to another group and try again."
"This group contains system attributes. Please move system attributes to another group and try again.","กลุ่มนี้ประกอบด้วยคุณลักษณะของระบบ กรุณาย้ายคุณลักษณะของระบบออกไปยังกลุ่มอื่นแล้วลองใหม่อีกครั้ง"
"This is a required option","This is a required option"
"This search no longer exists","ไม่มีการค้นหานี้"
"Tier Pricing","ระดับราคา"
"Tile","Tile"
"Time format","Time format"
"Title","Title"
"Top/Left","บน/ซ้าย"
"Top/Right","บน/ขวา"
"Total Qty Base Items","Total Qty Base Items"
"Total incl. Tax: %1$s","Total incl. Tax: %1$s"
"Total of %d record(s) were successfully deleted","ลบรายการทั้งสิ้น %d รายการแล้ว"
"Total of %d record(s) were successfully updated","อัพเดทรายการทั้งสิ้น %d รายการแล้ว"
"Type","ประเภท"
"Unable to complete request. Please try again later.","ไม่สามารถดำเนินการตามคำขอให้เสร็จสมบูรณ์ได้ กรุณาลองใหม่อีกครั้ง"
"Unable to find a search term to delete","ไม่พบคำค้นหาที่ต้องการลบ"
"Unable to find an attribute to delete","ไม่พบคุณลักษณะที่ต้องการลบ"
"Unable to get product id.","ไม่สามารถเรียกข้อมูล หัสสินค้าได้"
"Unassigned Attributes","คุณลักษณะที่ยังไม่ถูกจัดการ"
"Unique Value","ค่าที่เป็นค่าเฉพาะ"
"Unique Value (not shared with other products)","ค่าเฉพาะ (ไม่ใช้ร่วมกับสินค้าอื่น)"
"Unknown attribute: %s","คุณลักษณะที่ไม่รู้จัก: %s"
"Up-sells","Up-sells"
"Update","Update"
"Update Attributes","Update Attributes"
"Update Tier Price","Update Tier Price"
"Update assigned product","Update assigned product"
"Update attributes","อัพเดทคุณลักษณะ"
"Update category","Update category"
"Update product","Update product"
"Update product image","Update product image"
"Update product link","Update product link"
"Update product tier prices","Update product tier prices"
"Upload new product image ","Upload new product image "
"Url","Url"
"Url Rewrite Management","การจัดการเขียน Url ใหม่"
"Url rewrie save problem.","Url rewrie save problem."
"Use Config Settings","ใช้การตั้งค่า Config"
"Use Default Value","ใช้ค่าเริ่มต้น"
"Use Flat Catalog Category","Use Flat Catalog Category"
"Use Flat Catalog Product","Use Flat Catalog Product"
"Use In Layered Navigation","ใช้ใน Layered Navigation"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","ใช้ใน Layered Navigation<br/>(สามารถใช้ใน catalog ที่ใส่ข้อมูลประเภท'ดรอปดาวน์'เท่านั้น)"
"Use In Search Results Layered Navigation","Use In Search Results Layered Navigation"
"Use JavaScript Calendar","Use JavaScript Calendar"
"Use To Create Configurable Product","ใช้ในการสร้างสินค้าที่ปรับแต่งได้"
"Use Tree Like Category Sitemap","Use Tree Like Category Sitemap"
"Use categories path for product URLs","ใช้ Path ของ ประเภทสินค้า สำหรับ URL สินค้า"
"Use in advanced search","ใช้ในการค้นหาขั้นสูง"
"Use in quick search","ใช้ในการค้นหาแบบเร่งด่วน"
"Used for sorting in product listing","Used for sorting in product listing"
"Used in product listing","Used in product listing"
"Values Required","จำเป็นต้องใส่ค่า"
"Varchar","Varchar"
"View as","ดูในมุมมอง"
"Virtual Product","Virtual Product"
"Visibility","การมองเห็น"
"Visible","มองเห็นได้"
"Visible on Catalog Pages on Front-end","สามารถเห็นได้บนหน้ารายการสินค้าในส่วนหน้า"
"Visible on Product View Page on Front-end","Visible on Product View Page on Front-end"
"Watermark","ลายน้ำ"
"Watermark Default Size","ขนาดค่าเริ่มต้นของลายน้ำ"
"Watermark Position","ตำแหน่งลายน้ำ"
"We Also Recommend","We Also Recommend"
"Web Site Item Must be checked","Web Site Item Must be checked"
"Web Site Store Must be checked","Web Site Store Must be checked"
"Website","เว็บไซต์"
"Websites","เว็บไซต์"
"Wrong BuyRequest instance in options group","Wrong BuyRequest instance in options group"
"Wrong option instance type in options group","Wrong option instance type in options group"
"Wrong option type to get group instance.","Wrong option type to get group instance."
"Wrong product instance type in options group","Wrong product instance type in options group"
"Wrong quote item instance in options group","Wrong quote item instance in options group"
"Wrong quote item option instance in options group","Wrong quote item option instance in options group"
"Year Range","Year Range"
"Yes","ใช่"
"Yes/No","ใช่/ไม่ใช่"
"You cannot delete this attribute","คุณไม่สามารถลบคุณลักษณะนี้ได้"
"You cannot edit this attribute","คุณไม่สามารถแก้ไขคุณลักษณะนี้ได้"
"You cannot remove system attribute from this set.","คุณไม่สามารถย้ายคุณลักษณะของระบบจากชุดนี้ได้"
"You cannot update this attribute","คุณไม่สามารถอัพเดทคุณลักษณะนี้"
"You have no items to compare.","คุณไม่มีรายการสินค้าที่จะเปรียบเทียบ"
"You may also be interested in the following product(s)","คุณอาจจะสนใจในสินค้าดังต่อไปนี้"
"Zoom In","ซูมเข้า"
"Zoom Out","ซูมออก"
"[GLOBAL]","[GLOBAL]"
"and","และ"
"and above","และสูงกว่า"
"cache refresh needed","cache refresh needed"
"categories","categories"
"comma separated","comma separated"
"each","each"
"ex. http://domain.com","ตัวอย่าง http://domain.com"
"leave blank if its not an image","leave blank if its not an image"
"must be in the allowed values list","must be in the allowed values list"
"per page","ต่อหน้า"
"products","products"
"px.","px."
"save","save"
"select all","เลือกทั้งหมด"
"unselect all","ไม่เลือกทั้งหมด"
"x","x"
"Description","Description"
"Short Description","Short Description"
"Tax Class","Tax Class"
"There are no products matching the selection.","There are no products matching the selection."
"Availability:","Availability:"
"Qty:","Qty:"
"Compare Products","Compare Products"
"You have no items to compare.","You have no items to compare."
"Site Map","Site Map"
"Go to Home Page","Go to Home Page"
"Home","Home"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Our customer service is available 24/7. Call us at (555) 555-0123."
"Categories","Categories"
"Keep your eyes open for our special Back to School items and save A LOT!","Keep your eyes open for our special Back to School items and save A LOT!"
"Categories Sitemap","Categories Sitemap"
"Are you sure you would like to remove all products from your comparison?","Are you sure you would like to remove all products from your comparison?"
"Clear All","Clear All"
"Products Sitemap","Products Sitemap"
