"# of Use","# χρήσης"
"Settings","Ρυθμίσεις"
"Shop by","Αγοράστε από"
"Shopping Options","Επιλογες Αγορων"
"Show","Εμφάνιση"
"Show Details","Show Details"
"Show Tags","Show Tags"
"Simple Product","Απλό Προϊόν"
"Site Map","Χάρτης ιστοχώρου"
"Sitemap","Sitemap"
"Skip import row, is not valid value ""%s"" for field ""%s""","Προσπερνιέται η γραμμή εισαγωγής, δεν είναι έγκυρη η τιμή ""%s"" για το πεδίο ""%s"""
"Skip import row, required field ""%s"" for new customer not defined","Προσπερνιέται η γραμμή εισαγωγής, το υποχρεωτικό πεδίο ""%s"" για νέο πελάτη δεν έχει οριστεί"
"Skip import row, required field ""%s"" for new products not defined","Προσπερνιέται η γραμμή εισαγωγής, το υποχρεωτικό πεδίο ""%s"" για νέο προϊόν δεν έχει οριστεί"
"Skip import row, required field ""%s"" not defined","Προσπερνιέται η γραμμή εισαγωγής, required field ""%s"" not defined"
"Skip import row, store ""%s"" field not exists","Προσπερνιέται η γραμμή εισαγωγής, το πεδίο του καταστήματος ""%s"" δεν υπάρχει"
"Sort Order","Κανόνας Ταξινόμησης"
"Sort by","Ταξινόμηση κατά"
"Source Model","Μοντέλο Προέλευσης"
"Special Price:","Ειδική Τιμή:"
"Starting at:","Αρχίζει στα:"
"Static","Στατικό"
"Static block and products","Στατικό τμήμα και προϊόντα"
"Static block only","Μόνο Στατικό τμήμα"
"Status","Κατάσταση"
"Stock Availability","Διαθεσιμότητα Αποθέματος"
"Store","Κατάστημα"
"Store View","Όψη Καταστήματος"
"Stretch","Τέντωμα"
"Subscribe to Feed","Εγγραφή στο Feed"
"Subscribe to RSS Feed","Εγγραφή στο RSS Feed"
"Super product attributes configuration","Διαμόρφωση χαρακτηριστικών Super προϊόντος"
"Synonym For","Συνώνυμο Για"
"Synonym for","Συνώνυμο για"
"System","Σύστημα"
"System Properties","Ιδιότητες Συστήματος"
"Tag Name","Όνομα ετικέτας"
"Tax","Tax"
"Text","Κείμενο"
"Text Area","Περιοχή Κειμένου"
"Text Field","Πεδίο Κειμένου"
"There are no %s available.","Δεν υπάρχουν %s διαθέσιμα."
"There are no customers for this alert","Δεν υπάρχουν πελάτες για αυτήν την ειδοποίηση"
"There are no products matching the selection.","Δεν υπάρχουν προϊόντα που να ταιριάζουν με την επιλογή."
"There was an error while adding products to websites","Υπήρξε σφάλμα κατά την εισαγωγή προϊόντων στους ιστότοπους"
"There was an error while cleared compare list","There was an error while cleared compare list"
"There was an error while removing products from websites","Υπήρξε σφάλμα κατά την αφαίρεση προϊόντων από τους ιστότοπους"
"There was an error while updating product(s) attributes","Υπήρξε σφάλμα κατά την ενημέρωση των χαρακτηριστικών του(ων) προϊόντος(ων)"
"There was an error while updating product(s) status","There was an error while updating product(s) status"
"This attribute no longer exists","Αυτό το χαρακτηριστικό δεν υπάρχει πια"
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","This group contains attributes, used in configurable products. Please move these attributes to another group and try again."
"This group contains system attributes. Please move system attributes to another group and try again.","Η ομάδα αυτή περιέχει χαρακτηριστικά συστήματος. Παρακαλούμε μετακινήστε τα χαρακτηριστικά συστήματος σε μια άλλη ομάδα και προσπαθήστε ξανά."
"This is a required option","This is a required option"
"This search no longer exists","Αυτή η αναζήτηση δεν υπάρχει πια"
"Tier Pricing","Τιμολόγηση Πολλαπλών Τεμαχίων(Tier)"
"Tile","Tile"
"Time format","Time format"
"Title","Title"
"Top/Left","Επάνω/Αριστερά"
"Top/Right","Επάνω/Δεξιά"
"Total Qty Base Items","Total Qty Base Items"
"Total incl. Tax: %1$s","Total incl. Tax: %1$s"
"Total of %d record(s) were successfully deleted","Σύνολο %d εγγραφές διαγράφηκαν επιτυχώς"
"Total of %d record(s) were successfully updated","Σύνολο %d εγγραφές ενημερώθηκαν επιτυχώς"
"Type","Τύπος"
"Unable to complete request. Please try again later.","Ανικανότητα ολοκλήρωσης αιτήματος. Παρακαλούμε δοκιμάστε ξανά αργότερα."
"Unable to find a search term to delete","Ανικανότητα εύρεσης όρου αναζήτησης για διαγραφή"
"Unable to find an attribute to delete","Ανικανότητα εύρεσης χαρακτηριστικού για διαγραφή"
"Unable to get product id.","Ανικανότητα εύρεσης του id του προϊόντος."
"Unassigned Attributes","Μη Εκχωρημένα Χαρακτηριστικά"
"Unique Value","Μαναδική Αξία"
"Unique Value (not shared with other products)","Μοναδική Αξία (δεν μοιράζεται με άλλα προϊόντα)"
"Unknown attribute: %s","Άγνωστο χαρακτηριστικό: %s"
"Up-sells","Up-sells"
"Update","Update"
"Update Attributes","Update Attributes"
"Update Tier Price","Update Tier Price"
"Update assigned product","Update assigned product"
"Update attributes","Ενημέρωση χαρακτηριστικών"
"Update category","Update category"
"Update product","Update product"
"Update product image","Update product image"
"Update product link","Update product link"
"Update product tier prices","Update product tier prices"
"Upload new product image ","Upload new product image "
"Url","Url"
"Url Rewrite Management","Διαχείριση Url Rewrite"
"Url rewrie save problem.","Url rewrie save problem."
"Use Config Settings","Χρήση Ρυθμίσεων Διαμόρφωσης"
"Use Default Value","Χρήση προκαθορισμένης τιμής"
"Use Flat Catalog Category","Use Flat Catalog Category"
"Use Flat Catalog Product","Use Flat Catalog Product"
"Use In Layered Navigation","Χρήση στην πλοήγηση με επίπεδα"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Χρήση στην πλοήγηση με επίπεδα<br/>(Μπορεί να χρησιμοποιηθεί με τύπο εισαγωγής καταλόγου 'Dropdown')"
"Use In Search Results Layered Navigation","Use In Search Results Layered Navigation"
"Use JavaScript Calendar","Use JavaScript Calendar"
"Use To Create Configurable Product","Χρήση για Δημιουργία Διαμορφώσιμου Προϊόντος"
"Use Tree Like Category Sitemap","Use Tree Like Category Sitemap"
"Use categories path for product URLs","Χρησιμοποιήστε τη διαδρομή της κατηγορίας για τα URL προϊόντων"
"Use in advanced search","Χρήση στην προχωρημένη αναζήτηση"
"Use in quick search","Χρήση στη Γρήγορη Αναζήτηση"
"Used for sorting in product listing","Used for sorting in product listing"
"Used in product listing","Used in product listing"
"Values Required","Τιμές Απαιτούμενες"
"Varchar","Varchar"
"View as","Προβολή ως"
"Virtual Product","Virtual Product"
"Visibility","Ορατότητα"
"Visible","Ορατό"
"Visible on Catalog Pages on Front-end","Ορατό στις σελίδες Καταλόγου στο Front-end"
"Visible on Product View Page on Front-end","Visible on Product View Page on Front-end"
"Watermark","Υδατογράφημα"
"Watermark Default Size","Προκαθορισμένο Μέγεθος Υδατογραφήματος"
"Watermark Position","Θέση Υδατογραφήματος"
"We Also Recommend","We Also Recommend"
"Web Site Item Must be checked","Web Site Item Must be checked"
"Web Site Store Must be checked","Web Site Store Must be checked"
"Website","Ιστότοπος"
"Websites","Ιστότοποι"
"Wrong BuyRequest instance in options group","Wrong BuyRequest instance in options group"
"Wrong option instance type in options group","Wrong option instance type in options group"
"Wrong option type to get group instance.","Wrong option type to get group instance."
"Wrong product instance type in options group","Wrong product instance type in options group"
"Wrong quote item instance in options group","Wrong quote item instance in options group"
"Wrong quote item option instance in options group","Wrong quote item option instance in options group"
"Year Range","Year Range"
"Yes","Ναι"
"Yes/No","Ναι/Όχι"
"You cannot delete this attribute","Δεν μπορείτε να διαγράψετε αυτό το χαρακτηριστικό"
"You cannot edit this attribute","Δεν μπορείτε να επεξεργαστείτε αυτό το χαρακτηριστικό"
"You cannot remove system attribute from this set.","Δεν μπορείτε να αφαιρέσετε χαρακτηριστικό συστήματος από αυτό το σύνολο."
"You cannot update this attribute","Δεν μπορείτε να ενημερώσετε αυτό το χαρακτηριστικό"
"You have no items to compare.","Δεν έχετε αντικείμενα προς σύγκριση."
"You may also be interested in the following product(s)","Μπορεί επίσης να σας ενδιαφέρουν τα παρακάτω προϊόντα"
"Zoom In","Μεγέθυνση"
"Zoom Out","Σμίκρυνση"
"[GLOBAL]","[ΚΑΘΟΛΙΚΟ]"
"and","και"
"and above","και άνω"
"cache refresh needed","cache refresh needed"
"categories","categories"
"comma separated","comma separated"
"each","each"
"ex. http://domain.com","π.χ. http://domain.com"
"leave blank if its not an image","leave blank if its not an image"
"must be in the allowed values list","must be in the allowed values list"
"per page","ανά σελίδα"
"products","products"
"px.","px."
"save","save"
"select all","επιλογή όλων"
"unselect all","Αποεπιλογή όλων"
"x","x"
"Description","Description"
"Short Description","Short Description"
"Tax Class","Tax Class"
"There are no products matching the selection.","There are no products matching the selection."
"Availability:","Availability:"
"Qty:","Qty:"
"Compare Products","Compare Products"
"You have no items to compare.","You have no items to compare."
"Site Map","Site Map"
"Go to Home Page","Go to Home Page"
"Home","Home"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Our customer service is available 24/7. Call us at (555) 555-0123."
"Categories","Categories"
"Keep your eyes open for our special Back to School items and save A LOT!","Keep your eyes open for our special Back to School items and save A LOT!"
"Categories Sitemap","Categories Sitemap"
"Are you sure you would like to remove all products from your comparison?","Are you sure you would like to remove all products from your comparison?"
"Clear All","Clear All"
"Products Sitemap","Products Sitemap"
