"# of Use","# использования"
"%1$s incl tax.","%1$s вкл. налог."
"%s - %s","%s - %s"
"%s Item(s)","%s шт."
"(Copy data from: %s)","(Скопировать данные из: %s)"
"Watermark Default Size","Размер водяного знака по умолчанию"
"Watermark Position","Расположение водяного знака"
"We Also Recommend","Мы также рекомендуем"
"Web Site Item Must be checked","Web Site Item Must be checked"
"Web Site Store Must be checked","Web Site Store Must be checked"
"Website","Сайт"
"Websites","Сайты"
"Wrong BuyRequest instance in options group","Неверный экземпляр запроса на покупку в группе параметров"
"Wrong option instance type in options group","Неверный экземпляр типа параметра в группе параметров"
"Wrong option type to get group instance.","Неверный тип параметра для получения экземпляра группы."
"Wrong product instance type in options group","Неверный экземпляр типа товара в группе параметров"
"Wrong quote item instance in options group","Неверный экземпляр quote элемента в группе параметров"
"Wrong quote item option instance in options group","Неверный экземпляр параметра quote элемента в группе параметров"
"Year Range","Диапазон лет"
"Yes","Да"
"Yes/No","Да/нет"
"You cannot delete this attribute","Вы не можете удалить этот атрибут"
"You cannot edit this attribute","Вы не можете изменить этот атрибут"
"You cannot remove system attribute from this set.","Вы не можете удалить системный атрибут из этого набора."
"You cannot update this attribute","Вы не можете обновить этот атрибут"
"You have no items to compare.","У вас нет товаров для сравнения"
"You may also be interested in the following product(s)","Вы возможно также заинтересованы в следующих товарах"
"Zoom In","Увеличить"
"Zoom Out","Уменьшить"
"[GLOBAL]","[Глобально]"
"and","и"
"and above","и выше"
"cache refresh needed","необходимо обновление кэша"
"categories","категории"
"comma separated","разделение запятыми"
"each","каждый"
"ex. http://domain.com","напр. http://domain.com"
"leave blank if its not an image","Оставьте пустым, если это не изображение"
"must be in the allowed values list","должен быть в списке разрешённых значений"
"per page","на странице"
"products","товаров"
"px.","пикс."
"save","сэкономь"
"select all","выбрать все"
"unselect all","снять выбор со всех"
"x","x"
"Description","Описание"
"Short Description","Короткое описание"
"Tax Class","Tax Class"
"There are no products matching the selection.","There are no products matching the selection."
"Availability:","Availability:"
"Qty:","Количество:"
"Compare Products","Compare Products"
"You have no items to compare.","You have no items to compare."
"Site Map","Site Map"
"Go to Home Page","Go to Home Page"
"Home","Home"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Our customer service is available 24/7. Call us at (555) 555-0123."
"Categories","Categories"
"Keep your eyes open for our special Back to School items and save A LOT!","Keep your eyes open for our special Back to School items and save A LOT!"
"Categories Sitemap","Categories Sitemap"
"Are you sure you would like to remove all products from your comparison?","Are you sure you would like to remove all products from your comparison?"
"Clear All","Clear All"
"Products Sitemap","Products Sitemap"
