"# of Use","Lietošanas skaits"
"Use categories path for product URLs","Lietot kategoriju ceļu priekš preču URL"
"Use in advanced search","Lietot papildus meklēšanā"
"Use in quick search","Lietot ātrajā meklēšanā"
"Used for sorting in product listing","Used for sorting in product listing"
"Used in product listing","Used in product listing"
"Values Required","Obligātās vērtības"
"Varchar","Varchar"
"View as","Skatīt kā"
"Virtual Product","Virtual Product"
"Visibility","Redzamība"
"Visible","Redzams"
"Visible on Catalog Pages on Front-end","Redzams publiskā kataloga lapās"
"Visible on Product View Page on Front-end","Visible on Product View Page on Front-end"
"Watermark","Ūdenszīme"
"Watermark Default Size","Udenszīmes noklusētais izmērs"
"Watermark Position","Ūdenszīmes pozīcija"
"We Also Recommend","We Also Recommend"
"Web Site Item Must be checked","Web Site Item Must be checked"
"Web Site Store Must be checked","Web Site Store Must be checked"
"Website","Vietne"
"Websites","Vietnes"
"Wrong BuyRequest instance in options group","Wrong BuyRequest instance in options group"
"Wrong option instance type in options group","Wrong option instance type in options group"
"Wrong option type to get group instance.","Wrong option type to get group instance."
"Wrong product instance type in options group","Wrong product instance type in options group"
"Wrong quote item instance in options group","Wrong quote item instance in options group"
"Wrong quote item option instance in options group","Wrong quote item option instance in options group"
"Year Range","Year Range"
"Yes","Jā"
"Yes/No","Jā/Nē"
"You cannot delete this attribute","Jūs nevariet dzēst šo atribūtu"
"You cannot edit this attribute","Jūs nevarat rediģēt šo atribūtu"
"You cannot remove system attribute from this set.","Jūs nevariet dzēst sistēmas atribūtu no šī komplekta."
"You cannot update this attribute","Jūs nevariet atjaunot šo atribūtu"
"You have no items to compare.","Jums nav nevienas preces ko salīdzināt"
"You may also be interested in the following product(s)","Jūs, iespējams, interesēs arī šādas preces"
"Zoom In","tuvināt"
"Zoom Out","attālināt"
"[GLOBAL]","[GLOBĀLS]"
"and","un"
"and above","un augstāk"
"cache refresh needed","cache refresh needed"
"categories","categories"
"comma separated","comma separated"
"each","each"
"ex. http://domain.com","piem. http://domain.lv"
"leave blank if its not an image","leave blank if its not an image"
"must be in the allowed values list","must be in the allowed values list"
"per page","lapā"
"products","products"
"px.","px."
"save","save"
"select all","ielikt visas"
"unselect all","Izslēgt visas"
"x","x"
"Description","Description"
"Short Description","Short Description"
"Tax Class","Tax Class"
"There are no products matching the selection.","There are no products matching the selection."
"Availability:","Availability:"
"Qty:","Qty:"
"Compare Products","Compare Products"
"You have no items to compare.","You have no items to compare."
"Site Map","Site Map"
"Go to Home Page","Go to Home Page"
"Home","Home"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Our customer service is available 24/7. Call us at (555) 555-0123."
"Categories","Categories"
"Keep your eyes open for our special Back to School items and save A LOT!","Keep your eyes open for our special Back to School items and save A LOT!"
"Categories Sitemap","Categories Sitemap"
"Are you sure you would like to remove all products from your comparison?","Are you sure you would like to remove all products from your comparison?"
"Clear All","Clear All"
"Products Sitemap","Products Sitemap"
