"# of Use","# használva"
"%1$s incl tax.","%1$s áfával."
"%s - %s","%s - %s"
"%s Item(s)","%s termék"
"(Copy data from: %s)","(Másolás innen: %s)"
"Used for sorting in product listing","Used for sorting in product listing"
"Used in product listing","Used in product listing"
"Values Required","Megadása kötelező"
"Varchar","Varchar"
"View as","Nézet"
"Virtual Product","Virtuális termék"
"Visibility","Láthatóság"
"Visible","Látható"
"Visible on Catalog Pages on Front-end","Látható a katalógusban a boltban"
"Visible on Product View Page on Front-end","Visible on Product View Page on Front-end"
"Watermark","Vízjel"
"Watermark Default Size","Vízjel alapértelmezett méret"
"Watermark Position","Vízjel pozíció"
"We Also Recommend","Ajánljuk még"
"Web Site Item Must be checked","Web Site Item Must be checked"
"Web Site Store Must be checked","Web Site Store Must be checked"
"Website","Weboldal"
"Websites","Weboldalak"
"Wrong BuyRequest instance in options group","Wrong BuyRequest instance in options group"
"Wrong option instance type in options group","Wrong option instance type in options group"
"Wrong option type to get group instance.","Wrong option type to get group instance."
"Wrong product instance type in options group","Wrong product instance type in options group"
"Wrong quote item instance in options group","Wrong quote item instance in options group"
"Wrong quote item option instance in options group","Wrong quote item option instance in options group"
"Year Range","Year Range"
"Yes","Igen"
"Yes/No","Igen/Nem"
"You cannot delete this attribute","Nem törölheti ezt a jellemzőt"
"You cannot edit this attribute","Nem szerkesztheti ezt a jellemzőt"
"You cannot remove system attribute from this set.","Nem távolíthat el rendszer jellemzőt ebből a halmazból."
"You cannot update this attribute","Nem frissítheti ezt a jellemzőt"
"You have no items to compare.","Nincsenek összehasonlítható termékek."
"You may also be interested in the following product(s)","Talán a következő termékek is érdekelhetik:"
"Zoom In","Nagyít"
"Zoom Out","Kicsinyít"
"[GLOBAL]","[GLOBÁLIS]"
"and","és"
"and above","és felett"
"cache refresh needed","Cache-t frissíteni kell"
"categories","kategóriák"
"comma separated","vesszővel elválasztva"
"each","/db"
"ex. http://domain.com","pl. http://domain.hu"
"leave blank if its not an image","leave blank if its not an image"
"must be in the allowed values list","az engedélyezett értékek között kell lennie"
"per page","oldalanként"
"products","termékek"
"px.","px."
"save","ment"
"select all","mindet kiválaszt"
"unselect all","kijelölés törlése"
"x","x"
"Description","Description"
"Short Description","Short Description"
"Tax Class","Tax Class"
"There are no products matching the selection.","There are no products matching the selection."
"Availability:","Availability:"
"Qty:","Qty:"
"Compare Products","Compare Products"
"You have no items to compare.","You have no items to compare."
"Site Map","Site Map"
"Go to Home Page","Go to Home Page"
"Home","Home"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Our customer service is available 24/7. Call us at (555) 555-0123."
"Categories","Categories"
"Keep your eyes open for our special Back to School items and save A LOT!","Keep your eyes open for our special Back to School items and save A LOT!"
"Categories Sitemap","Categories Sitemap"
"Are you sure you would like to remove all products from your comparison?","Are you sure you would like to remove all products from your comparison?"
"Clear All","Clear All"
"Products Sitemap","Products Sitemap"
"Please login to see prices","Áraink a bejelentkezést követően elérhetőek"
"Usage","Használat"
"Printing possibility","Logó nyomtatás"
"Material","Anyagi"
"Color","Szín"
"Material inside","Anyaga belül"
"Log In","Bejelentkezés"
"(full)","(teljes)"
"(normal)","(normál)"
"(low)","(kis)"
"Availability:","Elérhetőség:"
