"# of Use","antall ganger brukt"
"You have no items to compare.","Du har ingen produkter å sammenligne."
"You may also be interested in the following product(s)","Du er kanskje også interessert i følgende produkt(er)"
"Zoom In","Forstørre"
"Zoom Out","Zoom ut"
"[GLOBAL]","[Global]"
"and","og"
"and above","og over"
"cache refresh needed","Krever Cache Refresh"
"categories","kategorier"
"comma separated","kommaseparart"
"each","hver"
"ex. http://domain.com","f.eks.: http://domain.com"
"leave blank if its not an image","la være dersom det ikke er et bilde"
"must be in the allowed values list","må være innen den angitte listen"
"per page","per side"
"products","produkter"
"px.","px."
"save","Lagre"
"select all","velg alle"
"unselect all","fjern alle"
"x","X"
"Description","Beskrivelse"
"Short Description","Kort beskrivelse"
"Tax Class","Momsklasse"
"There are no products matching the selection.","There are no products matching the selection."
"Availability:","Tilgjengelighet:"
"Qty:","Antall:"
"Compare Products","Sammenlign produkter"
"You have no items to compare.","Du har ingen varer å sammenligne."
"Site Map","Site Map"
"Go to Home Page","Gå til startsiden"
"Home","Hjem"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Vår kundeservice er tilgjengelig. kontakt oss på www.magentoinorge.no"
"Categories","Kategorier"
"Keep your eyes open for our special Back to School items and save A LOT!","Keep your eyes open for our special Back to School items and save A LOT!"
"Categories Sitemap","Categories Sitemap"
"Are you sure you would like to remove all products from your comparison?","Are you sure you would like to remove all products from your comparison?"
"Clear All","Clear All"
"Products Sitemap","Products Sitemap"
