"# of Use","# de Uso"
"%1$s incl tax.","%1$s incl tax."
"%s - %s","%s - %s"
"%s Item(s)","%s elemento(s)"
"(Copy data from: %s)","(Copiar datos desde: %s)"
"Watermark Position","Posición da marca de auga"
"We Also Recommend","Tamén recomendamos"
"Web Site Item Must be checked","Web Site Item Must be checked"
"Web Site Store Must be checked","Web Site Store Must be checked"
"Website","Sitio web"
"Websites","Sitios web"
"Wrong BuyRequest instance in options group","Wrong BuyRequest instance in options group"
"Wrong option instance type in options group","Wrong option instance type in options group"
"Wrong option type to get group instance.","Tipo de opción errónea para obter a instancia do grupo."
"Wrong product instance type in options group","Wrong product instance type in options group"
"Wrong quote item instance in options group","Wrong quote item instance in options group"
"Wrong quote item option instance in options group","Wrong quote item option instance in options group"
"Year Range","Rango de anos"
"Yes","Si"
"Yes/No","Sim/Não"
"You cannot delete this attribute","Não pode remover este atributo"
"You cannot edit this attribute","Não pode editar este atributo"
"You cannot remove system attribute from this set.","Non pode eliminar o atributo do sistema deste conxunto."
"You cannot update this attribute","Não pode actualizar este atributo"
"You have no items to compare.","Non ten elementos para comparar."
"You may also be interested in the following product(s)","Pode estar tamén interesado nos seguintes produtos"
"Zoom In","Achegar zoom"
"Zoom Out","Afastar zoom"
"[GLOBAL]","[GLOBAL]"
"and","e"
"and above","e superiores"
"cache refresh needed","cache refresh needed"
"categories","categorías"
"comma separated","comma separated"
"each","cada un"
"ex. http://domain.com","ex: http://omeusite.com"
"leave blank if its not an image","deixar baleiro se non é unha imaxe"
"must be in the allowed values list","must be in the allowed values list"
"per page","por páxina"
"products","produtos"
"px.","px."
"save","gardar"
"select all","seleccionar todo"
"unselect all","anular a selección de todo"
"x","x"
"Description","Description"
"Short Description","Short Description"
"Tax Class","Tax Class"
"There are no products matching the selection.","There are no products matching the selection."
"Availability:","Dispoñibilidade:"
"Qty:","Cantidade:"
"Compare Products","Compare Products"
"You have no items to compare.","You have no items to compare."
"Site Map","Site Map"
"Go to Home Page","Go to Home Page"
"Home","Home"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Our customer service is available 24/7. Call us at (555) 555-0123."
"Categories","Categories"
"Keep your eyes open for our special Back to School items and save A LOT!","Manteña abertos os ollos aos nosos elementos especiais de Volta á Escola e aforre MOITO!"
"Categories Sitemap","Categories Sitemap"
"Are you sure you would like to remove all products from your comparison?","Are you sure you would like to remove all products from your comparison?"
"Clear All","Clear All"
"Products Sitemap","Products Sitemap"
