"# of Use","# iš Esamų"
"%1$s incl tax.","%1$s incl tax."
"%s - %s","%s - %s"
"%s Item(s)","%s prekė(s)"
"(Copy data from: %s)","(Kopijuoti duomenis iš: %s)"
"Use categories path for product URLs","Naudokite kategorijų kelią produktui URLs"
"Use in advanced search","Naudojamas Detalioje Paieškoje"
"Use in quick search","Naudojamas Greitoje Paieškoje"
"Used for sorting in product listing","Used for sorting in product listing"
"Used in product listing","Used in product listing"
"Values Required","Reikšmė privaloma"
"Varchar","Varchar"
"View as","Žiūrėti kaip"
"Virtual Product","Virtual Product"
"Visibility","Matomumas"
"Visible","Matomas"
"Visible on Catalog Pages on Front-end","Matomas Katalogo puslapiuose"
"Visible on Product View Page on Front-end","Visible on Product View Page on Front-end"
"Watermark","Vandens ženklas"
"Watermark Default Size","Vandens ženklo dydis"
"Watermark Position","Vandens ženklo Pozicija"
"We Also Recommend","We Also Recommend"
"Web Site Item Must be checked","Web Site Item Must be checked"
"Web Site Store Must be checked","Web Site Store Must be checked"
"Website","Svetainė"
"Websites","Tinklapiai"
"Wrong BuyRequest instance in options group","Wrong BuyRequest instance in options group"
"Wrong option instance type in options group","Wrong option instance type in options group"
"Wrong option type to get group instance.","Wrong option type to get group instance."
"Wrong product instance type in options group","Wrong product instance type in options group"
"Wrong quote item instance in options group","Wrong quote item instance in options group"
"Wrong quote item option instance in options group","Wrong quote item option instance in options group"
"Year Range","Year Range"
"Yes","Taip"
"Yes/No","Taip/Ne"
"You cannot delete this attribute","Jūs negalite ištrinti šios savybės"
"You cannot edit this attribute","Jūs negalite redaguoti savybės"
"You cannot remove system attribute from this set.","Negalite pašalinti sistemos savybių iš šio rinkinio."
"You cannot update this attribute","Jūs negalite atnaujinti šios savybės"
"You have no items to compare.","Jūs nepasirinkote prekių palyginimui."
"You may also be interested in the following product(s)","Taip pat siūlome šias prekes"
"Zoom In","Padidinti"
"Zoom Out","Sumažinti"
"[GLOBAL]","[KAIP NUMATYTA]"
"and","ir"
"and above","ir virš"
"cache refresh needed","cache refresh needed"
"categories","categories"
"comma separated","comma separated"
"each","each"
"ex. http://domain.com","pvz. http://ManoDomenas.lt"
"leave blank if its not an image","leave blank if its not an image"
"must be in the allowed values list","must be in the allowed values list"
"per page","per puslapį"
"products","products"
"px.","px."
"save","save"
"select all","Pasirinkti visus"
"unselect all","Atšaukti pasirinkimą"
"x","x"
"Description","Description"
"Short Description","Short Description"
"Tax Class","Tax Class"
"There are no products matching the selection.","There are no products matching the selection."
"Availability:","Būsena:"
"Qty:","Qty:"
"Compare Products","Compare Products"
"You have no items to compare.","You have no items to compare."
"Site Map","Site Map"
"Go to Home Page","Go to Home Page"
"Home","Home"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Our customer service is available 24/7. Call us at (555) 555-0123."
"Categories","Categories"
"Keep your eyes open for our special Back to School items and save A LOT!","Keep your eyes open for our special Back to School items and save A LOT!"
"Categories Sitemap","Categories Sitemap"
"Are you sure you would like to remove all products from your comparison?","Are you sure you would like to remove all products from your comparison?"
"Clear All","Clear All"
"Products Sitemap","Products Sitemap"
