"# of Use","# שימוש"
"Url Rewrite Management","ניהול שכתוב כתובות URL"
"Url rewrie save problem.","Url rewrie save problem."
"Use Config Settings","השתמש בהגדרות המוגדרות"
"Use Default Value","השתמש בברית המחדל"
"Use Flat Catalog Category","השתמש בקטגורית קטלוג flat"
"Use Flat Catalog Product","השתמש במוצר קטלוג flat"
"Use In Layered Navigation","השתמש בניווט layered"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')"
"Use In Search Results Layered Navigation","השתמש בתוצאות החיפוש של ניווט layered"
"Use JavaScript Calendar","השתמש ביומן JavaScript "
"Use To Create Configurable Product","השתמש בכדי ליצור תצורת מוצר"
"Use Tree Like Category Sitemap","השתמש במפת אתר בתצורת עץ"
"Use categories path for product URLs","Use categories path for product URLs"
"Use in advanced search","השתמש בחיפוש מתקדם"
"Use in quick search","השתמש בחיפוש מהיר"
"Used for sorting in product listing","Used for sorting in product listing"
"Used in product listing","Used in product listing"
"Values Required","נדרשים ערכים"
"Varchar","תו"
"View as","הצג כ-"
"Virtual Product","מוצר וירטואלי"
"Visibility","גלוי"
"Visible","גלוי"
"Visible on Catalog Pages on Front-end","גלוי בדפי הקטלוג באתר"
"Visible on Product View Page on Front-end","גלוי בדף צפייה במוצר באתר"
"Watermark","סימן מים"
"Watermark Default Size","סימן מים - גודל ברירת מחדל"
"Watermark Position","מיקום סימן מים"
"We Also Recommend","אנחנו ממליצים"
"Web Site Item Must be checked","Web Site Item Must be checked"
"Web Site Store Must be checked","Web Site Store Must be checked"
"Website","אתר"
"Websites","אתרים"
"Wrong BuyRequest instance in options group","Wrong BuyRequest instance in options group"
"Wrong option instance type in options group","Wrong option instance type in options group"
"Wrong option type to get group instance."," סוג אפשרויות שגוי לקבלת קבוצת ערכאות"
"Wrong product instance type in options group","Wrong product instance type in options group"
"Wrong quote item instance in options group","Wrong quote item instance in options group"
"Wrong quote item option instance in options group","Wrong quote item option instance in options group"
"Year Range","טווח שנים"
"Yes","כן"
"Yes/No","כן/לא"
"You cannot delete this attribute","אינך יכול למחוק מאפיין זה"
"You cannot edit this attribute","אינך יכול לערוך מאפיין זה"
"You cannot remove system attribute from this set.","אתה לא יכול להסיר אפשרויות מערכת מסט זה"
"You cannot update this attribute","אתה לא יכול לעדכן מאפיין זה"
"You have no items to compare.","אין לך מוצרים להשוואה"
"You may also be interested in the following product(s)","ייתכן שאתה מעוניין גם במוצר/ים הבא/ים"
"Zoom In","הגדל"
"Zoom Out","הקטן"
"[GLOBAL]","[גלובלי]"
"and","וגם"
"and above","וגם מעל"
"cache refresh needed","cache refresh needed"
"categories","קטגוריות"
"comma separated","comma separated"
"each","כל אחד"
"ex. http://domain.com","לדוגמא http://domain.com"
"leave blank if its not an image","השאר ריק אם לא תמונה"
"must be in the allowed values list","must be in the allowed values list"
"per page","לעמוד"
"products","מוצרים"
"px.","px."
"save","שמור"
"select all","בחר הכל"
"unselect all","הסר הכל"
"x","x"
"Description","Description"
"Short Description","Short Description"
"Tax Class","Tax Class"
"There are no products matching the selection.","There are no products matching the selection."
"Availability:","זמינות:"
"Qty:","כמות:"
"Compare Products","Compare Products"
"You have no items to compare.","You have no items to compare."
"Site Map","Site Map"
"Go to Home Page","Go to Home Page"
"Home","Home"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Our customer service is available 24/7. Call us at (555) 555-0123."
"Categories","Categories"
"Keep your eyes open for our special Back to School items and save A LOT!","שים לב! ההצעות המיוחדות שלנו יחסכו לכם כסף וזמן!"
"Categories Sitemap","Categories Sitemap"
"Are you sure you would like to remove all products from your comparison?","Are you sure you would like to remove all products from your comparison?"
"Clear All","Clear All"
"Products Sitemap","Products Sitemap"
