"# of Use","počet použití"
"%1$s incl tax.","%1$s s daní."
"%s - %s","%s - %s"
"%s Item(s)","položek: %s"
"(Copy data from: %s)","(Kopírovat data z: %s)"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Používá se ve vrstvách navigace<br/>(Může být použito pouze se vstupem typu 'Rozbalovací menu')"
"Use In Search Results Layered Navigation","Použít ve vrstvách navigace vyhledávání"
"Use JavaScript Calendar","Použít javascriptový kalendář"
"Use To Create Configurable Product","Použít pro vytvoření konfigurovatelného produktu"
"Use Tree Like Category Sitemap","Použít stromovou strukturu mapy stránek kategorií"
"Use categories path for product URLs","Použít cestu kategorie pro URL produktu"
"Use in advanced search","Použít v rozšířeném hledání"
"Use in quick search","Použít v rychlém hledání"
"Used for sorting in product listing","Použito pro třídění při výpisu produktů"
"Used in product listing","Použito v seznamu produktů"
"Values Required","Vyžadována hodnota"
"Varchar","Varchar"
"View as","Zobrazit jako"
"Virtual Product","Virtuální produkt"
"Visibility","Viditelnost"
"Visible","Viditelné"
"Visible on Catalog Pages on Front-end","Viditelné v katalogu"
"Visible on Product View Page on Front-end","Viditelné na stránce produktů"
"Watermark","Vodoznak"
"Watermark Default Size","Výchozí velikost vodoznaku"
"Watermark Position","Pozice vodoznaku"
"We Also Recommend","Doporučujeme"
"Web Site Item Must be checked","Stránky musí být vybrány"
"Web Site Store Must be checked","Obchod musí být vybrán"
"Website","Webové stránky"
"Websites","Webové stránky"
"Wrong BuyRequest instance in options group","Wrong BuyRequest instance in options group"
"Wrong option instance type in options group","Wrong option instance type in options group"
"Wrong option type to get group instance.","Wrong option type to get group instance."
"Wrong product instance type in options group","Wrong product instance type in options group"
"Wrong quote item instance in options group","Wrong quote item instance in options group"
"Wrong quote item option instance in options group","Wrong quote item option instance in options group"
"Year Range","Rozsah roků"
"Yes","Ano"
"Yes/No","Ano/Ne"
"You cannot delete this attribute","Nemůžete smazat tuto vlastnost"
"You cannot edit this attribute","Nemůžete upravovat tuto vlastnost"
"You cannot remove system attribute from this set.","Nemůžete odebrat systémovou vlastnost z této skupiny."
"You cannot update this attribute","Nemůžete upravit tuto vlastnost"
"You have no items to compare.","Nevybrali jste položky k porovnání."
"You may also be interested in the following product(s)","Možná Vás zaujme i následující "
"Zoom In","Přiblížit"
"Zoom Out","Oddálit"
"[GLOBAL]","[GLOBÁLNÍ]"
"and","a"
"and above","a více"
"cache refresh needed","Je potřeba obnovit cache"
"categories","Kategorie"
"comma separated","oddělené čárkami"
"each","každý"
"ex. http://domain.com","například: http://domain.com"
"leave blank if its not an image","ponechte prázdné pokud to není obrázek"
"must be in the allowed values list","musí být v seznamu povolených hodnot"
"per page","na stránku"
"products","Produkty"
"px.","px."
"save","Uložit"
"select all","Vybrat vše"
"unselect all","Odznačit vše"
"x","x"
"Description","Description"
"Short Description","Short Description"
"Tax Class","Tax Class"
"There are no products matching the selection.","There are no products matching the selection."
"Availability:","Availability:"
"Qty:","Qty:"
"Compare Products","Compare Products"
"You have no items to compare.","You have no items to compare."
"Site Map","Site Map"
"Go to Home Page","Go to Home Page"
"Home","Home"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Our customer service is available 24/7. Call us at (555) 555-0123."
"Categories","Categories"
"Keep your eyes open for our special Back to School items and save A LOT!","Keep your eyes open for our special Back to School items and save A LOT!"
"Categories Sitemap","Categories Sitemap"
"Are you sure you would like to remove all products from your comparison?","Are you sure you would like to remove all products from your comparison?"
"Clear All","Clear All"
