"# of Use","# Kullanımda"
"%1$s incl tax.","%1$s vergi dahil."
"%s - %s","%s - %s"
"%s Item(s)","%s Kayıt"
"(Copy data from: %s)","(Veri kaynağı : %s)"
"Tier Pricing","Fiyat Kanalı"
"Tile","Döşe"
"Time format","Saat Biçimi"
"Title","Başlık"
"Top/Left","Üst/Sol"
"Top/Right","Üst/Sağ"
"Total Qty Base Items","Temel Ürün Adedi"
"Total incl. Tax: %1$s","Vergi Dahil Toplam: %1$s"
"Total of %d record(s) were successfully deleted","Toplam %d kayıt silindi"
"Total of %d record(s) were successfully updated","Toplam %d kayıt güncellendi"
"Type","Tip"
"Unable to complete request. Please try again later.","İşlem tamamlanamadı. Lütfen daha sonra tekrar deneyiniz."
"Unable to find a search term to delete","Silinecek arama kelimesi bulunamadı"
"Unable to find an attribute to delete","Silinecek özellik bulunamadı"
"Unable to get product id.","Ürün numarası bulunamadı."
"Unassigned Attributes","Eşleştirilmemiş Özellikler"
"Unique Value","Eşsiz Değer"
"Unique Value (not shared with other products)","Eşsiz Değer (diğer ürünlerle paylaşılmaz)"
"Unknown attribute: %s","Bilinmeyen özellik : %s"
"Up-sells","Üst Satışlar"
"Update","Güncelle"
"Update Attributes","Özellikleri Güncelle"
"Update Tier Price","Kanal Fiyatını Güncelle"
"Update assigned product","Bağlı Ürünü Güncelle"
"Update attributes","Özellikleri Güncelle"
"Update category","Kategoriyi Güncelle"
"Update product","Ürünü Güncelle"
"Update product image","Ürün resmini Güncelle"
"Update product link","Ürün bağlantısını Güncelle"
"Update product tier prices","Ürün kanal fiyatlarını Güncelle"
"Upload new product image ","Yeni ürün resmi yükle"
"Url","Adres"
"Url Rewrite Management","Adres Yeniden Yazım Yönetimi"
"Url rewrie save problem.","Adres Yeniden Yazımı kaydedilirken hata oluştu."
"Use Config Settings","Ayarları Kullan"
"Use Default Value","Varsayılan Değeri Kullan"
"Use Flat Catalog Category","Kategorilerde Düz Katalog Kullan"
"Use Flat Catalog Product","Ürünlerde Düz Katalog Kullan"
"Use In Layered Navigation","Katmanlı Menüde Kullan"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Katmanlı Menüde Kullan <br/>(Sadece katalogdaki 'Açılır Menü' tipindeki alanlarda kullanılır)"
"Use In Search Results Layered Navigation","Arama Sonuçları Katmanlı Gezinme alanında kullan"
"Use JavaScript Calendar","JavaScript Takvim Kullan"
"Use To Create Configurable Product","Ayarlanabilir Ürün oluştururken kullan"
"Use Tree Like Category Sitemap","Ağaç Tipi Kategori Site Haritası Kullan"
"Use categories path for product URLs","Kategori yolunu ürün adresinde kullan"
"Use in advanced search","Gelişmiş aramada kullan"
"Use in quick search","Hızlı aramada kullan"
"Used for sorting in product listing","Ürün listesi sıralamasında kullanılan"
"Used in product listing","Ürün listelemede kullanılan"
"Values Required","Zorunlu değerler"
"Varchar","Değişken Uzunluklu Karakter Kümesi"
"View as","Listeleme Şekli"
"Virtual Product","Sanal Ürün/Hizmet"
"Visibility","Görünürlük"
"Visible","Görünür"
"Visible on Catalog Pages on Front-end","Ön sayfadaki katalog sayfalarında görünür"
"Visible on Product View Page on Front-end","Site önyüzünde Ürün Görünümü sayfalarında görünür"
"Watermark","Kopya Koruması"
"Watermark Default Size","Kopya Koruması Boyutu"
"Watermark Position","Kopya Konumu"
"We Also Recommend","Bunları da tavsiye ediyoruz"
"Web Site Item Must be checked","Site Kaydı seçilmelidir"
"Web Site Store Must be checked","Site Mağazası Kaydı seçilmelidir"
"Website","Web Sitesi"
"Websites","Websiteleri"
"Wrong BuyRequest instance in options group","Seçenek Grubunda Hatalı Satınalma İsteği Örneği."
"Wrong option instance type in options group","Seçenek Grubunda Hatalı Seçenek Örneği."
"Wrong option type to get group instance.","Grup örneği alınırken Hatalı Seçenek Tipi."
"Wrong product instance type in options group","Seçenek Grubunda Hatalı Ürün Örneği."
"Wrong quote item instance in options group","Seçenek Grubunda Hatalı Liste Kaydı Örneği."
"Wrong quote item option instance in options group","Seçenek Grubunda Hatalı Liste Kaydı Seçeneği Örneği"
"Year Range","Yıl Aralığı"
"Yes","Evet"
"Yes/No","Evet/Hayır"
"You cannot delete this attribute","Bu özelliği silemezsiniz"
"You cannot edit this attribute","Bu özelliği düzenleyemezsiniz"
"You cannot remove system attribute from this set.","Sistem özelliğini bu setten özellik setinden silemezsiniz."
"You cannot update this attribute","Bu özelliği güncelleyemezsiniz"
"You have no items to compare.","Karşılaştırılacak ürün eklemediniz."
"You may also be interested in the following product(s)","Aşağıdaki ürünleri zaten takip listenize eklediniz."
"Zoom In","Yaklaştır"
"Zoom Out","Uzaklaştır"
"[GLOBAL]","[GENEL]"
"and","ve"
"and above","veya daha fazla"
"cache refresh needed","önbellek yenilemesi gerekiyor"
"categories","kategoriler"
"comma separated","virgülle ayrılmış"
"each","her"
"ex. http://domain.com","ör. http://domain.com"
"leave blank if its not an image","eğer resim değilse boş bırakınız"
"must be in the allowed values list","kabul edilebilir ürünler değerlerden biri olmalı"
"per page","sayfa başı"
"products","ürünler"
"px.","pix."
"save","kaydet"
"select all","hepsini seç"
"unselect all","tümünü seçim dışı bırak"
"x","x"
"Description","Açıklama"
"Short Description","Kısa Açıklama"
"Tax Class","Vergi Sınıfı"
"There are no products matching the selection.","There are no products matching the selection."
"Availability:","Stok Durumu :"
"Qty:","Adet:"
"Compare Products","Compare Products"
"You have no items to compare.","You have no items to compare."
"Site Map","Site Map"
"Go to Home Page","Go to Home Page"
"Home","Home"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Our customer service is available 24/7. Call us at (555) 555-0123."
"Categories","Categories"
"Keep your eyes open for our special Back to School items and save A LOT!","Gözünüzü açın kampanyaları yakalayın!"
"Categories Sitemap","Categories Sitemap"
"Are you sure you would like to remove all products from your comparison?","Are you sure you would like to remove all products from your comparison?"
"Clear All","Clear All"
"Products Sitemap","Products Sitemap"
