"# of Use","Använt antal"
"Visible on Product View Page on Front-end","Suynlig på kunddelens produktsidor"
"Watermark","Vattenmärke"
"Watermark Default Size","Förvald storlek för vattenmärke"
"Watermark Position","Placering av vattenmärke"
"We Also Recommend","Vi rekommenderar även"
"Web Site Item Must be checked","Artikel för sidkarta måste vara vald"
"Web Site Store Must be checked","Butik för sidkarta måste vara vald"
"Website","Webbplats"
"Websites","Webbplatser"
"Wrong BuyRequest instance in options group","Felaktig köpbegäransinstans i alternativgrupp"
"Wrong option instance type in options group","Felaktig valinstans i alternativgrupp"
"Wrong option type to get group instance.","Felaktig valtyp för att hämta grupp instans"
"Wrong product instance type in options group","Felatig produktinstanstyp i alternativgrupp"
"Wrong quote item instance in options group","Felaktig offertartikelinstans i alternativgrupp"
"Wrong quote item option instance in options group","Felaktig offertartikelvalinstans i alternativgrupp"
"Year Range","Valbart år-intervall"
"Yes","Ja"
"Yes/No","Ja/nej"
"You cannot delete this attribute","Du kan inte ta bort detta attribut"
"You cannot edit this attribute","Du kan inte ändra på detta attribut"
"You cannot remove system attribute from this set.","Du kan inte ta bort systemattribut från denna mängd."
"You cannot update this attribute","Du kan inte uppdatera detta attribut"
"You have no items to compare.","Du har inga produkter att jämföra."
"You may also be interested in the following product(s)","Du kanske även är intresserad av följande produkt(er)?"
"Zoom In","Zooma in"
"Zoom Out","Zooma ut"
"[GLOBAL]","[GLOBAL]"
"and","och"
"and above","och ovan"
"cache refresh needed","Du behöver ladda om cache"
"categories","kategorier"
"comma separated","Kommaseparerad lista"
"each","varje"
"ex. http://domain.com","t.ex. http://example.com"
"leave blank if its not an image","Lämna tomt om det inte är en bild"
"must be in the allowed values list","Måste vara inom tillåtna värden i listan"
"per page","per sida"
"products","produkter"
"px.","px."
"save","Spara"
"select all","välj alla"
"unselect all","välj bort alla"
"x","x"
"Description","Beskrivning"
"Short Description","Kort beskrivning"
"Tax Class","Momsklass"
"There are no products matching the selection.","There are no products matching the selection."
"Availability:","Availability:"
"Qty:","Qty:"
"Compare Products","Compare Products"
"You have no items to compare.","You have no items to compare."
"Site Map","Site Map"
"Go to Home Page","Go to Home Page"
"Home","Home"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Our customer service is available 24/7. Call us at (555) 555-0123."
"Categories","Categories"
"Keep your eyes open for our special Back to School items and save A LOT!","Keep your eyes open for our special Back to School items and save A LOT!"
"Categories Sitemap","Categories Sitemap"
"Are you sure you would like to remove all products from your comparison?","Are you sure you would like to remove all products from your comparison?"
"Clear All","Clear All"
"Products Sitemap","Products Sitemap"
