"# of Use","Nb d'utilisations"
"Use JavaScript Calendar","Utiliser le calendrier JavaScript"
"Use To Create Configurable Product","Utiliser pour créer un produit configurable"
"Use Tree Like Category Sitemap","Utiliser l'arborescence des catégories pour le plan de site"
"Use categories path for product URLs","Utiliser l'arborescence des catégories pour l'URL des produits"
"Use in advanced search","Utiliser dans la recherche avancée"
"Use in quick search","Utiliser dans la recherche rapide"
"Used for sorting in product listing","Utilisé pour trier la liste de produit"
"Used in product listing","Utilisé dans la liste de produits"
"Values Required","Valeurs requises"
"Varchar","Varchar"
"View as","Afficher en"
"Virtual Product","Produit virtuel"
"Visibility","Visibilité"
"Visible","Visible"
"Visible on Catalog Pages on Front-end","Visible sur les pages du magasin"
"Visible on Product View Page on Front-end","Visible sur la page produit du magasin"
"Watermark","Filigrane"
"Watermark Default Size","Taille par défaut du filigrane"
"Watermark Position","Positionnement du filigrane"
"We Also Recommend","Nous vous recommandons également"
"Web Site Item Must be checked","L'article du site web doit être coché"
"Web Site Store Must be checked","Le magasin du site web doit être coché"
"Website","Site web"
"Websites","Sites web"
"Wrong BuyRequest instance in options group","Instance de requête d'achat incorrecte dans le groupe d'options"
"Wrong option instance type in options group","Instance d'option incorrecte dans le groupe d'options"
"Wrong option type to get group instance.","Type d'option incorrect pour récupérer l'instance de groupe."
"Wrong product instance type in options group","Type d'instance produit incorrect dans le groupe d'options"
"Wrong quote item instance in options group","Instance d'article incorrecte dans le groupe d'options"
"Wrong quote item option instance in options group","Instance d'option d'article incorrecte dans le groupe d'options"
"Year Range","Période annuelle"
"Yes","Oui"
"Yes/No","Oui/Non"
"You cannot delete this attribute","Vous ne pouvez pas supprimer cet attribut"
"You cannot edit this attribute","Vous ne pouvez pas éditer cet attribut"
"You cannot remove system attribute from this set.","Vous ne pouvez pas retirer cet attribut système de ce groupe"
"You cannot update this attribute","Vous ne pouvez pas mettre à jour cet attribut"
"You have no items to compare.","Vous n'avez pas d'articles à comparer."
"You may also be interested in the following product(s)","Vous pourriez également être intéressé par le(s) produit(s) suivant(s)"
"Zoom In","Zoom avant"
"Zoom Out","Zoom arrière"
"[GLOBAL]","[GLOBAL]"
"and","et"
"and above","et plus"
"cache refresh needed","rafraichissement du cache nécessaire"
"categories","catégories"
"comma separated","séparés par des virgules"
"each","pièce"
"ex. http://domain.com","Par ex : http://domaine.com"
"leave blank if its not an image","Laisser vide si ce n'est pas une image"
"must be in the allowed values list","doit être présent dans la liste des valeurs autorisées"
"per page","par page"
"products","Produits"
"px.","px."
"save","économisez"
"select all","tout sélectionner"
"unselect all","tout désélectionner"
"x","x"
"Description","Description"
"Short Description","Description courte"
"Tax Class","Classe de TVA"
"There are no products matching the selection.","There are no products matching the selection."
"Availability:","Availability:"
"Qty:","Qty:"
"Compare Products","Compare Products"
"You have no items to compare.","You have no items to compare."
"Site Map","Site Map"
"Go to Home Page","Go to Home Page"
"Home","Home"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Our customer service is available 24/7. Call us at (555) 555-0123."
"Categories","Categories"
"Keep your eyes open for our special Back to School items and save A LOT!","Keep your eyes open for our special Back to School items and save A LOT!"
"Categories Sitemap","Categories Sitemap"
"Are you sure you would like to remove all products from your comparison?","Are you sure you would like to remove all products from your comparison?"
"Clear All","Clear All"
"Products Sitemap","Products Sitemap"
