"# of Use","número de usos"
"%1$s incl tax.","%1$s incl imposto."
"%s - %s","%s - %s"
"%s Item(s)","%s Item(s)"
"(Copy data from: %s)","(Copiar dados de: %s)"
"Wrong BuyRequest instance in options group","Instância 'BuyRequest' incorreta nas opções de grupo"
"Wrong option instance type in options group","Tipo de instância de opção incorreta nas opções de grupo"
"Wrong option type to get group instance.","Tipo de opção incorreta para obter o grupo de instância."
"Wrong product instance type in options group","Instância incorreta do tipo de produto nas opções de grupo"
"Wrong quote item instance in options group","Instância incorreta do item cotação nas opções de grupo"
"Wrong quote item option instance in options group","Instância incorreta do item opção de cotação nas opções de grupo"
"Year Range","Faixa de ano"
"Yes","Sim"
"Yes/No","Sim/Não"
"You cannot delete this attribute","Você não pode excluir este atributo"
"You cannot edit this attribute","Você não pode editar este atributo"
"You cannot remove system attribute from this set.","Você não pode remover atributos de sistema deste grupo."
"You cannot update this attribute","Você não pode atualizar este atributo"
"You have no items to compare.","Você não tem itens para comparar."
"You may also be interested in the following product(s)","Você pode também estar interessado nos seguintes produtos"
"Zoom In","Aumentar"
"Zoom Out","Reduzir"
"[GLOBAL]","[GLOBAL]"
"and","e"
"and above","e acima"
"cache refresh needed","é necessário renovar o cache"
"categories","categorias"
"comma separated","separado por vírgulas"
"each","cada"
"ex. http://domain.com","ex. http://dominio.com.br"
"leave blank if its not an image","deixe em branco se o seu não é uma imagem"
"must be in the allowed values list","deve estar na lista de valores permitidos"
"per page","por página"
"products","produtos"
"px.","px."
"save","salvar"
"select all","selecionar todos"
"unselect all","limpar seleções"
"x","x"
"Description","Descrição"
"Short Description","Breve Descrição"
"Tax Class","Classe de Imposto"
"There are no products matching the selection.","There are no products matching the selection."
"Availability:","Availability:"
"Qty:","Qtd:"
"Compare Products","Compare Products"
"You have no items to compare.","You have no items to compare."
"Site Map","Site Map"
"Go to Home Page","Go to Home Page"
"Home","Home"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Our customer service is available 24/7. Call us at (555) 555-0123."
"Categories","Categories"
"Keep your eyes open for our special Back to School items and save A LOT!","Keep your eyes open for our special Back to School items and save A LOT!"
"Categories Sitemap","Categories Sitemap"
"Are you sure you would like to remove all products from your comparison?","Are you sure you would like to remove all products from your comparison?"
"Clear All","Clear All"
"Products Sitemap","Products Sitemap"
