"# of Use","# di utilizzo"
"Use Tree Like Category Sitemap","Usa categorie sitemap stile ad albero"
"Use categories path for product URLs","Usa percorso categorie per la URL del prodotto"
"Use in advanced search","Usa nella ricerca avanzata"
"Use in quick search","Usa nella ricerca veloce"
"Used for sorting in product listing","Usato per ordinare i prodotti elencati"
"Used in product listing","Usato nell'elenco dei prodotti"
"Values Required","Valori Obbligatori"
"Varchar","Varchar"
"View as","Vedi come"
"Virtual Product","Prodotto virtuale"
"Visibility","Visibilità"
"Visible","Visibile"
"Visible on Catalog Pages on Front-end","Visibile nelle pagine del catalogo nel Front-end"
"Visible on Product View Page on Front-end","Visibile sulla pagina prodotto sul Front-end"
"Watermark","Filigrana"
"Watermark Default Size","Dimensione predefinita Watermark"
"Watermark Position","Posizione Watermark"
"We Also Recommend","Consigliamo anche"
"Web Site Item Must be checked","Web Site Item Must be checked"
"Web Site Store Must be checked","Lo Store deve essere controllato"
"Website","Sito web"
"Websites","Siti web"
"Wrong BuyRequest instance in options group","Richiesta di Acquisto erranta nel gruppo opzioni"
"Wrong option instance type in options group","Istanza di opzione errata nel gruppo opzioni"
"Wrong option type to get group instance.","Tipo opzioni errata per ottenere istanza gruppo."
"Wrong product instance type in options group","Wrong product instance type in options group"
"Wrong quote item instance in options group","Istanza di preventivo errata nel gruppo opzioni"
"Wrong quote item option instance in options group","Wrong quote item option instance in options group"
"Year Range","Intervallo anno"
"Yes","Si"
"Yes/No","Si/No"
"You cannot delete this attribute","Non puoi eliminare questo attributo"
"You cannot edit this attribute","Non puoi modificare questo attributo"
"You cannot remove system attribute from this set.","Non puoi rimuovere l'attributo di sistema da questo set di attributi."
"You cannot update this attribute","Non puoi aggiornare questo attributo"
"You have no items to compare.","Non hai articoli da confrontare."
"You may also be interested in the following product(s)","Potresti essere interessato al seguente prodotto/i"
"Zoom In","Ingrandisci"
"Zoom Out","Diminuisci"
"[GLOBAL]","[GLOBALE]"
"and","e"
"and above","e superiore"
"cache refresh needed","Aggiornamento cache necessario"
"categories","categorie"
"comma separated","separati con virgola"
"each","ognuno"
"ex. http://domain.com","es. http://domain.com"
"leave blank if its not an image","lasciare bianco se non è un immagine"
"must be in the allowed values list","deve essere nella lista dei valori permessi"
"per page","per pagina"
"products","prodotti"
"px.","px."
"save","salva"
"select all","seleziona tutto"
"unselect all","deseleziona tutto"
"x","x"
"Description","Description"
"Short Description","Short Description"
"Tax Class","Tax Class"
"There are no products matching the selection.","There are no products matching the selection."
"Availability:","Disponibilità:"
"Qty:","Qtà:"
"Compare Products","Compare Products"
"You have no items to compare.","You have no items to compare."
"Site Map","Site Map"
"Go to Home Page","Go to Home Page"
"Home","Home"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Our customer service is available 24/7. Call us at (555) 555-0123."
"Categories","Categories"
"Keep your eyes open for our special Back to School items and save A LOT!","Tieni gli occhi aperti per i nostro speciale Torna A Scuola e risparmierai TANTISSIMO!"
"Categories Sitemap","Categories Sitemap"
"Are you sure you would like to remove all products from your comparison?","Are you sure you would like to remove all products from your comparison?"
"Clear All","Clear All"
"Products Sitemap","Products Sitemap"
