"# of Use","# käyttökertaa"
"Update Attributes","Update Attributes"
"Update Tier Price","Update Tier Price"
"Update assigned product","Update assigned product"
"Update attributes","Päivitä ominaisuudet"
"Update category","Update category"
"Update product","Update product"
"Update product image","Update product image"
"Update product link","Update product link"
"Update product tier prices","Update product tier prices"
"Upload new product image ","Upload new product image "
"Url","Osoite"
"Url Rewrite Management","Osoitealiasten hallinnointi"
"Url rewrie save problem.","Url rewrie save problem."
"Use Config Settings","Käytä kokoonpanon asetuksia"
"Use Default Value","Käytä oletusarvoa"
"Use Flat Catalog Category","Käytä kategorioiden pakkausta"
"Use Flat Catalog Product","Käytä tuotteiden pakkausta"
"Use In Layered Navigation","Käytä kerroksittaisessa navigaatiossa"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Käytä kerroksittaisessa navigaatiossa<br/>(Voidaan käyttää vain katalogin syöttötyypin 'pudotus' kanssa)"
"Use In Search Results Layered Navigation","Käytä hakutulosten kerroksittaisessa navigaatiossa"
"Use JavaScript Calendar","Käytä JavaScript-kalenteria"
"Use To Create Configurable Product","Käytä luodaksesi muokattava tuote"
"Use Tree Like Category Sitemap","Käytä puumaista kategoriasivukarttaa"
"Use categories path for product URLs","Käytä kategoriapolkuja tuotteiden osoitteille"
"Use in advanced search","Käytä tarkemmassa haussa"
"Use in quick search","Käytä pikahaussa"
"Used for sorting in product listing","Käytetään tuotelistan järjestämiseen"
"Used in product listing","Käytetään tuotelistauksessa"
"Values Required","Vaaditut arvot"
"Varchar","Merkkijono"
"View as","Tarkastele"
"Virtual Product","Aineeton tuote"
"Visibility","Näkyvyys"
"Visible","Näkyvillä"
"Visible on Catalog Pages on Front-end","Näkyvillä katalogisivuilla kaupan asiakasnäkymässä"
"Visible on Product View Page on Front-end","Näytetään tuotesivulla asiakasnäkymässä"
"Watermark","Vesileima"
"Watermark Default Size","Vesileiman oletuskoko"
"Watermark Position","Vesileiman paikka"
"We Also Recommend","Suosittelemme myös"
"Web Site Item Must be checked","Web Site Item Must be checked"
"Web Site Store Must be checked","Web Site Store Must be checked"
"Website","Sivusto"
"Websites","Sivusto"
"Wrong BuyRequest instance in options group","Wrong BuyRequest instance in options group"
"Wrong option instance type in options group","Wrong option instance type in options group"
"Wrong option type to get group instance.","Wrong option type to get group instance."
"Wrong product instance type in options group","Wrong product instance type in options group"
"Wrong quote item instance in options group","Wrong quote item instance in options group"
"Wrong quote item option instance in options group","Wrong quote item option instance in options group"
"Year Range","Vuodet aikavälillä"
"Yes","Kyllä"
"Yes/No","Kyllä / Ei"
"You cannot delete this attribute","Et voi poistaa tätä ominaisuutta"
"You cannot edit this attribute","Et voi muokata tätä ominaisuutta"
"You cannot remove system attribute from this set.","Et voi poistaa järjestelmän ominaisuutta tästä kokoelmasta."
"You cannot update this attribute","Et voi päivittää tätä ominaisuutta"
"You have no items to compare.","Tuotevertailussa ei ole tuotteita."
"You may also be interested in the following product(s)","Voisit mahdollisesti olla kiinnostunut seuraavista tuotteista"
"Zoom In","Katso lähemmin"
"Zoom Out","Loitonna"
"[GLOBAL]","[GLOBAALI]"
"and","ja"
"and above","tai enemmän"
"cache refresh needed","vaatii välimuistin tyhjentämisen"
"categories","categories"
"comma separated","comma separated"
"each","each"
"ex. http://domain.com","esim. http://domain.com"
"leave blank if its not an image","jätä tyhjäksi jos kyseessä ei ole kuva"
"must be in the allowed values list","must be in the allowed values list"
"per page","/ sivu"
"products","products"
"px.","px."
"save","tallenna"
"select all","valitse kaikki"
"unselect all","poista kaikki valinnat"
"x","x"
"Description","Description"
"Short Description","Short Description"
"Tax Class","Tax Class"
"There are no products matching the selection.","There are no products matching the selection."
"Availability:","Saatavuus:"
"Qty:","Määrä:"
"Compare Products","Compare Products"
"You have no items to compare.","You have no items to compare."
"Site Map","Site Map"
"Go to Home Page","Go to Home Page"
"Home","Home"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Our customer service is available 24/7. Call us at (555) 555-0123."
"Categories","Categories"
"Keep your eyes open for our special Back to School items and save A LOT!","Keep your eyes open for our special Back to School items and save A LOT!"
"Categories Sitemap","Categories Sitemap"
"Are you sure you would like to remove all products from your comparison?","Are you sure you would like to remove all products from your comparison?"
"Clear All","Clear All"
"Products Sitemap","Products Sitemap"
