"# of Use","# i brug"
"%1$s incl tax.","%1$s inkl. moms."
"%s - %s","%s - %s"
"%s Item(s)","%s vare(r)"
"(Copy data from: %s)","(Kopier data fra: %s)"
"Wrong BuyRequest instance in options group","Wrong BuyRequest instance in options group"
"Wrong option instance type in options group","Wrong option instance type in options group"
"Wrong option type to get group instance.","Wrong option type to get group instance."
"Wrong product instance type in options group","Wrong product instance type in options group"
"Wrong quote item instance in options group","Wrong quote item instance in options group"
"Wrong quote item option instance in options group","Wrong quote item option instance in options group"
"Year Range","Year Range"
"Yes","Ja"
"Yes/No","Ja/Nej"
"You cannot delete this attribute","Du kan ikke slette denne egenskab"
"You cannot edit this attribute","Egenskaben kunne ikke redigeres"
"You cannot remove system attribute from this set.","Systemegenskaber kan ikke fjernes fra sættet."
"You cannot update this attribute","Egenskaben kan ikke opdateres"
"You have no items to compare.","Der er ingen varer til sammenligning"
"You may also be interested in the following product(s)","Måske vil du også være interesseret i disse produkt(er)?"
"Zoom In","Zoom ind"
"Zoom Out","Zoom ud"
"[GLOBAL]","[GLOBAL]"
"and","og"
"and above","og over"
"cache refresh needed","opdatering af cache kræves"
"categories","kategorier"
"comma separated","kommasepareret"
"each","pr. stk."
"ex. http://domain.com","eks. http://minshop.dk"
"leave blank if its not an image","leave blank if its not an image"
"must be in the allowed values list","skal være i listen af tilladte værdier"
"per page","pr. side"
"products","produkter"
"px.","px."
"save","spar"
"select all","Vælg alle"
"unselect all","Fravælg alle"
"x","x"
"Description","Description"
"Short Description","Short Description"
"Tax Class","Tax Class"
"There are no products matching the selection.","There are no products matching the selection."
"Availability:","Availability:"
"Qty:","Qty:"
"Compare Products","Compare Products"
"You have no items to compare.","You have no items to compare."
"Site Map","Site Map"
"Go to Home Page","Go to Home Page"
"Home","Home"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Our customer service is available 24/7. Call us at (555) 555-0123."
"Categories","Categories"
"Keep your eyes open for our special Back to School items and save A LOT!","Keep your eyes open for our special Back to School items and save A LOT!"
"Categories Sitemap","Categories Sitemap"
"Are you sure you would like to remove all products from your comparison?","Are you sure you would like to remove all products from your comparison?"
"Clear All","Clear All"
"Products Sitemap","Products Sitemap"
