"# of Use","# de Uso"
"Use in quick search","Utilice en búsqueda rápida"
"Used for sorting in product listing","Utilizado para la clasificación en la lista de productos"
"Used in product listing","Utilizado listando productos"
"Values Required","Valores Requeridos"
"Varchar","Varchar"
"View as","Ver como"
"Virtual Product","Producto Virtual"
"Visibility","Visibilidad"
"Visible","Visible"
"Visible on Catalog Pages on Front-end","Visible en las Páginas de Catálogo de Front-end"
"Visible on Product View Page on Front-end","Visible en Ver el Producto Página en Front-end"
"Watermark","Marca de Agua"
"Watermark Default Size","Marca de Agua Tamaño Predeterminado"
"Watermark Position","Posición de Marca de Agua"
"We Also Recommend","También le recomendamos"
"Web Site Item Must be checked","Sitio Web Artículo Debe ser revisado"
"Web Site Store Must be checked","Sitio Web Tienda Debe ser revisado"
"Website","Sitio Web"
"Websites","Sitios Web"
"Wrong BuyRequest instance in options group","Wrong BuyRequest instance in options group"
"Wrong option instance type in options group","Opción incorrecto tipo de instancia en el grupo de opciones"
"Wrong option type to get group instance.","Tipo de opción incorrecta para conseguir instancia de grupo."
"Wrong product instance type in options group","Incorrecto producto tipo de instancia en el grupo Opciones"
"Wrong quote item instance in options group","Incorrecta instancia artículo cita en el grupo Opciones"
"Wrong quote item option instance in options group","Incorrecta instancia de opción de elemento cita en el grupo de opciones"
"Year Range","Rango de Años"
"Yes","Si"
"Yes/No","Si/No"
"You cannot delete this attribute","No se puede eliminar este atributo"
"You cannot edit this attribute","No puede editar este atributo"
"You cannot remove system attribute from this set.","No se puede quitar atributo de sistema de este conjunto."
"You cannot update this attribute","No se puede actualizar este atributo"
"You have no items to compare.","No tiene artículos a comparar."
"You may also be interested in the following product(s)","También puede estar interesado en el siguiente producto(s)"
"Zoom In","Acercar"
"Zoom Out","Alejar"
"[GLOBAL]","[GLOBAL]"
"and","y"
"and above","y por encima"
"cache refresh needed","actualización de caché necesario"
"categories","categorías"
"comma separated","separado por coma"
"each","cada"
"ex. http://domain.com","ej. http://domain.com"
"leave blank if its not an image","dejar en blanco si no es una imagen"
"must be in the allowed values list","debe estar en la lista de valores permitidos"
"per page","por página"
"products","productos"
"px.","px."
"save","guardar"
"select all","seleccionar todos"
"unselect all","deseleccionar todos"
"x","x"
"Description","Descripción"
"Short Description","Descripción Corta"
"Tax Class","Clase de Impuesto"
"There are no products matching the selection.","No hay productos que concuerden con la selección."
"Availability:","Disponibilidad:"
"Qty:","Cant:"
"Compare Products","Comparar Productos"
"You have no items to compare.","No tiene artículos para comparar."
"Site Map","Mapa del Sitio"
"Go to Home Page","Ir a Pagina de Inicio"
"Home","Inicio"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Nuestro servicio al cliente está disponible 24/7. Llámenos al (555) 555 a 0123."
"Categories","Categorías"
"Keep your eyes open for our special Back to School items and save A LOT!","Mantenga sus ojos abiertos para nuestros artículos especiales al Volver al Colegio y ahorra MAS!"
"Categories Sitemap","Sitemap Categorías"
"Are you sure you would like to remove all products from your comparison?","¿Estás seguro de que quieres eliminar todos los productos de su comparación?"
"Clear All","Limpiar Todos"
"Products Sitemap","Sitemap Productos"
