"# of Use","# в употреба"
"%1$s incl tax.","%1$s вкл. данък"
"%s - %s","%s - %s"
"%s Item(s)","%s Продукт(а)"
"Wrong option type to get group instance.","Грешен тип опция за извличане на групов обект."
"Wrong product instance type in options group","Wrong product instance type in options group"
"Wrong quote item instance in options group","Wrong quote item instance in options group"
"Wrong quote item option instance in options group","Wrong quote item option instance in options group"
"Year Range","Годишен период"
"Yes","Да"
"Yes/No","Да/Не"
"You cannot delete this attribute","Вие не можете да изтриете този атрибут"
"You cannot edit this attribute","Вие не можете да редактирате този атрибут"
"You cannot remove system attribute from this set.","Невъзможно премахването на системен атрибут от тази група."
"You cannot update this attribute","Вие не можете да обновите този атрибут"
"You have no items to compare.","Няма артикули за сравнение."
"You may also be interested in the following product(s)","Може би ще проявите интерес и към следните продукти"
"Zoom In","Увеличаване"
"Zoom Out","Намаляване"
"[GLOBAL]","[ГЛОБАЛНО]"
"and","и"
"and above","и отгоре"
"cache refresh needed","cache refresh needed"
"categories","категории"
"comma separated","comma separated"
"each","всеки"
"ex. http://domain.com","напр. http://domain.com"
"leave blank if its not an image","оставете празно ако не е изображение"
"must be in the allowed values list","must be in the allowed values list"
"per page","на страница"
"products","продукти"
"px.","px."
"save","запиши"
"select all","маркирай всичко"
"unselect all","размаркирай всичко"
"x","x"
"Description","Description"
"Short Description","Кратко описание"
"Tax Class","Tax Class"
"There are no products matching the selection.","There are no products matching the selection."
"Availability:","Наличност:"
"Qty:","Кол.:"
"Compare Products","Compare Products"
"You have no items to compare.","You have no items to compare."
"Site Map","Site Map"
"Go to Home Page","Go to Home Page"
"Home","Home"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Our customer service is available 24/7. Call us at (555) 555-0123."
"Categories","Categories"
"Keep your eyes open for our special Back to School items and save A LOT!","Keep your eyes open for our special Back to School items and save A LOT!"
"Categories Sitemap","Categories Sitemap"
"Are you sure you would like to remove all products from your comparison?","Are you sure you would like to remove all products from your comparison?"
"Clear All","Clear All"
"Products Sitemap","Products Sitemap"
