"# of Use","# de Uso"
"Use categories path for product URLs","Usar ruta de acceso para las categorías de productos URL"
"Use in advanced search","Utilizar en búsqueda avanzada"
"Use in quick search","Uso en búsqueda rápida"
"Used for sorting in product listing","Usado para ser sorteado en listado de productos"
"Used in product listing","Usado en Listado de Producto"
"Values Required","Valores requeridos"
"Varchar","Varchar"
"View as","Ver como"
"Virtual Product","Producto Virtual"
"Visibility","Visibilidad"
"Visible","Visible"
"Visible on Catalog Pages on Front-end","Visibles en páginas de Catálogo en Front-end"
"Visible on Product View Page on Front-end","Visible on Product View Page on Front-end"
"Watermark","Marca de Agua"
"Watermark Default Size","Tamaño predeterminado de marca de agua"
"Watermark Position","Posición de marca de agua"
"We Also Recommend","También Recomendamos"
"Web Site Item Must be checked","Web Site Item Must be checked"
"Web Site Store Must be checked","Web Site Store Must be checked"
"Website","Sitio Web"
"Websites","Sitios web"
"Wrong BuyRequest instance in options group","Wrong BuyRequest instance in options group"
"Wrong option instance type in options group","Wrong option instance type in options group"
"Wrong option type to get group instance.","Wrong option type to get group instance."
"Wrong product instance type in options group","Wrong product instance type in options group"
"Wrong quote item instance in options group","Wrong quote item instance in options group"
"Wrong quote item option instance in options group","Wrong quote item option instance in options group"
"Year Range","Rango en Años"
"Yes","Sí"
"Yes/No","Sí/No"
"You cannot delete this attribute","No se puede eliminar este atributo"
"You cannot edit this attribute","No se puede modificar este atributo"
"You cannot remove system attribute from this set.","No se puede eliminar el sistema de atributos de este arreglo."
"You cannot update this attribute","No se puede actualizar este atributo"
"You have no items to compare.","Usted no tiene artículos para comparar."
"You may also be interested in the following product(s)","Puede que también este interesado en el (los) siguiente(s) producto(s)"
"Zoom In","Acercar"
"Zoom Out","Alejar"
"[GLOBAL]","[GLOBAL]"
"and","y"
"and above","y más"
"cache refresh needed","Necesita recargar el cache"
"categories","categorías"
"comma separated","separado por comas"
"each","cada"
"ex. http://domain.com","ej. http://domain.mx"
"leave blank if its not an image","leave blank if its not an image"
"must be in the allowed values list","debe estar en la lista de valores permitidos"
"per page","por página"
"products","productos"
"px.","px."
"save","ahorra"
"select all","seleccionar todo"
"unselect all","cancelar toda la selección"
"x","x"
"Description","Descripción"
"Short Description","Descripción Corta"
"Tax Class","Clase de Impuesto"
"There are no products matching the selection.","There are no products matching the selection."
"Availability:","Disponibilidad:"
"Qty:","Cant:"
"Compare Products","Compare Products"
"You have no items to compare.","You have no items to compare."
"Site Map","Site Map"
"Go to Home Page","Go to Home Page"
"Home","Home"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Our customer service is available 24/7. Call us at (555) 555-0123."
"Categories","Categories"
"Keep your eyes open for our special Back to School items and save A LOT!","Keep your eyes open for our special Back to School items and save A LOT!"
"Categories Sitemap","Categories Sitemap"
"Are you sure you would like to remove all products from your comparison?","Are you sure you would like to remove all products from your comparison?"
"Clear All","Clear All"
"Products Sitemap","Products Sitemap"
