"# of Use","ilość użyć"
"%1$s incl tax.","%1$s z podatkiem"
"%s - %s","%s - %s"
"%s Item(s)","%s produkt(ów)"
"(Copy data from: %s)","(Kopiuj dane z: %s)"
"Update","Aktualizuj"
"Update Attributes","Aktualizuj cechy"
"Update Tier Price","Aktualizuj poziomy cen"
"Update assigned product","Zaktualizuj przypisany produkt"
"Update attributes","Aktualizuj cechy"
"Update category","Aktualizuj kategorię"
"Update product","Aktualizuj produkt"
"Update product image","Aktualizuj obrazek produktu"
"Update product link","Aktualizuj link produktu"
"Update product tier prices","Aktualizuj poziomy cenowe produktu"
"Upload new product image ","Załaduj nowy obrazek produktu "
"Url","URL"
"Url Rewrite Management","Zarządzanie przekierowaniami adresów"
"Url rewrie save problem.","Problem zapisu przekierowania URL."
"Use Config Settings","Użyj ustawień konfiguracyjnych"
"Use Default Value","Użyj wartości domyślnej"
"Use Flat Catalog Category","Użyj płaskiego katalogu kategorii"
"Use Flat Catalog Product","Użyj płaskiego katalogu produktów"
"Use In Layered Navigation","Używane w warstwowej nawigacji"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Używane w warstwowej nawigacji<br/>(można używać tylko z rozwijanymi listami)"
"Use In Search Results Layered Navigation","Używane w warstwowej nawigacji wyników wyszukiwania"
"Use JavaScript Calendar","Użyj kalendarza JavaScript"
"Use To Create Configurable Product","Użyj do tworzenia konfigurowalnego produktu"
"Use Tree Like Category Sitemap","Użyj mapy witryny kategorii w formie drzewka"
"Use categories path for product URLs","Użyj ścieżek kategorii dla adresów produktów"
"Use in advanced search","Zastosuj w zaawansowanym wyszukiwaniu"
"Use in quick search","Zastosuj w szybkim wyszukiwaniu"
"Used for sorting in product listing","Użyte dla sortowania produktów na listach"
"Used in product listing","Użyte w listach produktów"
"Values Required","Wartości wymagane"
"Varchar","Tekst"
"View as","Zobacz jako"
"Virtual Product","Produkt wirtualny"
"Visibility","Widoczność"
"Visible","Widoczny"
"Visible on Catalog Pages on Front-end","Widoczne w na stronach katalogu"
"Visible on Product View Page on Front-end","Widoczne na karcie produktu"
"Watermark","Znak wodny"
"Watermark Default Size","Domyślna wielkość znaku wodnego"
"Watermark Position","Pozycja znaku wodnego"
"We Also Recommend","Polecamy również"
"Web Site Item Must be checked","Element witryny musi zostać zaznaczony"
"Web Site Store Must be checked","Sklep witryny musi zostać zaznaczony"
"Website","Witryna"
"Websites","Witryny"
"Wrong BuyRequest instance in options group","Nieprawidłowe wystąpienie żądania zakupu w opcjach grup"
"Wrong option instance type in options group","Nieprawidłowe wystąpienie typu opcji w opcjach grup"
"Wrong option type to get group instance.","Nieprawidłowe wystąpienie typu opcji dla grupy."
"Wrong product instance type in options group","Nieprawidłowe wystąpienie typu produktu w opcjach grup"
"Wrong quote item instance in options group","Nieprawidłowe wystąpienie typu produktu w opcjach grup"
"Wrong quote item option instance in options group","Nieprawidłowe wystąpienie opcji typu produktu w opcjach grup"
"Year Range","Zakres lat"
"Yes","Tak"
"Yes/No","Tak/Nie"
"You cannot delete this attribute","Nie możesz skasować tej cechy"
"You cannot edit this attribute","Nie możesz edytować tej cechy"
"You cannot remove system attribute from this set.","Nie możesz usunąć cechy systemowej z tego zestawu."
"You cannot update this attribute","Nie można zaktualizować cechy"
"You have no items to compare.","Nie masz produktów do porównania."
"You may also be interested in the following product(s)","Mogą cię również zainteresować następujące produkty"
"Zoom In","Powiększ"
"Zoom Out","Zmniejsz"
"[GLOBAL]","[GLOBALNY]"
"and","i"
"and above","i powyżej"
"cache refresh needed","wymagane odświeżenie cache"
"categories","kategorie"
"comma separated","oddzielone przecinkami"
"each","każdy"
"ex. http://domain.com","np. http://domena.pl"
"leave blank if its not an image","pozostaw puste, jeśli to nie jest obrazek"
"must be in the allowed values list","musi być na liście dozwolonych wartości"
"per page","na stronę"
"products","produkty"
"px.","px"
"save","zapisz"
"select all","zaznacz wszystko"
"unselect all","odznacz wszystko"
"x","x"
"Description","Opis"
"Short Description","Krótki opis"
"Tax Class","Klasa podatku"
"There are no products matching the selection.","Brak produktów odpowiadających zapytaniu."
"Availability:","Dostępność:"
"Qty:","Ilość:"
"Compare Products","Porównaj produkty"
"You have no items to compare.","Nie masz produktów do porównania."
"Site Map","Mapa strony"
"Go to Home Page","Przejdź na stronę główną"
"Home","Strona głowna"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Nasz zespół obsługi klienta jest dostępny 24h na dobę. Zadzwoń 801 801 801."
"Categories","Kategorie"
"Keep your eyes open for our special Back to School items and save A LOT!","Rozejrzyj się za promocjami i oszczędź dużo pieniędzy!"
"Categories Sitemap","Mapa kategorii"
"Are you sure you would like to remove all products from your comparison?","Czy na pewno chcesz usunąć wszystkie przedmioty z porównania?"
"Clear All","Wyczyść wszystko"
"Products Sitemap","Mapa produktów"
